Metric,Rainfall,Soil_Moisture,Temperature
RMSE,60.54173962416904,9.596578362876558,0.16500230508300762
MAE,45.852436647490066,7.480975392765256,0.13115689049255283
R²,0.2805140255233858,0.7262911952039512,0.9650753765973508
