Date,Embu_temp_forecast,Test_RMSE,Test_MAE
2024-10-31,22.884132,0.2246170515985353,0.188940696116763
2024-11-30,22.359646,0.2246170515985353,0.188940696116763
2024-12-31,22.33997,0.2246170515985353,0.188940696116763
2025-01-31,22.842918,0.2246170515985353,0.188940696116763
2025-02-28,23.680336,0.2246170515985353,0.188940696116763
2025-03-31,24.234667,0.2246170515985353,0.188940696116763
2025-04-30,23.579739,0.2246170515985353,0.188940696116763
2025-05-31,22.272488,0.2246170515985353,0.188940696116763
2025-06-30,21.32184,0.2246170515985353,0.188940696116763
2025-07-31,21.011738,0.2246170515985353,0.188940696116763
2025-08-31,21.551445,0.2246170515985353,0.188940696116763
2025-09-30,22.433712,0.2246170515985353,0.188940696116763
2025-10-31,22.57487,0.2246170515985353,0.188940696116763
2025-11-30,21.989588,0.2246170515985353,0.188940696116763
2025-12-31,22.048178,0.2246170515985353,0.188940696116763
2026-01-31,22.713484,0.2246170515985353,0.188940696116763
2026-02-28,23.72924,0.2246170515985353,0.188940696116763
2026-03-31,24.415648,0.2246170515985353,0.188940696116763
2026-04-30,23.666363,0.2246170515985353,0.188940696116763
2026-05-31,22.328373,0.2246170515985353,0.188940696116763
2026-06-30,21.284147,0.2246170515985353,0.188940696116763
2026-07-31,20.926506,0.2246170515985353,0.188940696116763
2026-08-31,21.475817,0.2246170515985353,0.188940696116763
2026-09-30,22.402624,0.2246170515985353,0.188940696116763
2026-10-31,22.644915,0.2246170515985353,0.188940696116763
2026-11-30,22.26582,0.2246170515985353,0.188940696116763
2026-12-31,22.286554,0.2246170515985353,0.188940696116763
2027-01-31,22.815765,0.2246170515985353,0.188940696116763
2027-02-28,23.670568,0.2246170515985353,0.188940696116763
2027-03-31,24.20702,0.2246170515985353,0.188940696116763
2027-04-30,23.566015,0.2246170515985353,0.188940696116763
2027-05-31,22.314396,0.2246170515985353,0.188940696116763
2027-06-30,21.446188,0.2246170515985353,0.188940696116763
2027-07-31,21.205215,0.2246170515985353,0.188940696116763
2027-08-31,21.664335,0.2246170515985353,0.188940696116763
2027-09-30,22.281221,0.2246170515985353,0.188940696116763
2027-10-31,22.30143,0.2246170515985353,0.188940696116763
2027-11-30,21.962368,0.2246170515985353,0.188940696116763
2027-12-31,22.153654,0.2246170515985353,0.188940696116763
2028-01-31,22.796598,0.2246170515985353,0.188940696116763
2028-02-29,23.741964,0.2246170515985353,0.188940696116763
2028-03-31,24.391747,0.2246170515985353,0.188940696116763
2028-04-30,23.73573,0.2246170515985353,0.188940696116763
2028-05-31,22.345146,0.2246170515985353,0.188940696116763
2028-06-30,21.339186,0.2246170515985353,0.188940696116763
2028-07-31,21.028198,0.2246170515985353,0.188940696116763
2028-08-31,21.541103,0.2246170515985353,0.188940696116763
2028-09-30,22.327114,0.2246170515985353,0.188940696116763
2028-10-31,22.54739,0.2246170515985353,0.188940696116763
2028-11-30,22.30807,0.2246170515985353,0.188940696116763
2028-12-31,22.376797,0.2246170515985353,0.188940696116763
2029-01-31,22.879799,0.2246170515985353,0.188940696116763
2029-02-28,23.665367,0.2246170515985353,0.188940696116763
2029-03-31,24.159071,0.2246170515985353,0.188940696116763
2029-04-30,23.587746,0.2246170515985353,0.188940696116763
2029-05-31,22.426779,0.2246170515985353,0.188940696116763
2029-06-30,21.570013,0.2246170515985353,0.188940696116763
2029-07-31,21.26728,0.2246170515985353,0.188940696116763
2029-08-31,21.580015,0.2246170515985353,0.188940696116763
2029-09-30,22.06847,0.2246170515985353,0.188940696116763
