Date,Nandi_rain_forecast,Test_RMSE,Test_MAE
2024-10-31,117.50321,53.36305894112677,39.97677329278761
2024-11-30,92.635376,53.36305894112677,39.97677329278761
2024-12-31,68.99129,53.36305894112677,39.97677329278761
2025-01-31,69.43633,53.36305894112677,39.97677329278761
2025-02-28,99.836555,53.36305894112677,39.97677329278761
2025-03-31,134.07489,53.36305894112677,39.97677329278761
2025-04-30,147.92989,53.36305894112677,39.97677329278761
2025-05-31,155.50238,53.36305894112677,39.97677329278761
2025-06-30,161.9559,53.36305894112677,39.97677329278761
2025-07-31,158.23212,53.36305894112677,39.97677329278761
2025-08-31,154.4017,53.36305894112677,39.97677329278761
2025-09-30,143.35156,53.36305894112677,39.97677329278761
2025-10-31,122.30875,53.36305894112677,39.97677329278761
2025-11-30,96.921906,53.36305894112677,39.97677329278761
2025-12-31,76.09621,53.36305894112677,39.97677329278761
2026-01-31,70.46022,53.36305894112677,39.97677329278761
2026-02-28,88.50268,53.36305894112677,39.97677329278761
2026-03-31,118.80187,53.36305894112677,39.97677329278761
2026-04-30,145.86406,53.36305894112677,39.97677329278761
2026-05-31,159.14441,53.36305894112677,39.97677329278761
2026-06-30,165.17982,53.36305894112677,39.97677329278761
2026-07-31,167.45346,53.36305894112677,39.97677329278761
2026-08-31,151.93706,53.36305894112677,39.97677329278761
2026-09-30,132.32341,53.36305894112677,39.97677329278761
2026-10-31,115.91559,53.36305894112677,39.97677329278761
2026-11-30,93.64212,53.36305894112677,39.97677329278761
2026-12-31,77.19172,53.36305894112677,39.97677329278761
2027-01-31,77.54965,53.36305894112677,39.97677329278761
2027-02-28,96.64523,53.36305894112677,39.97677329278761
2027-03-31,122.3037,53.36305894112677,39.97677329278761
2027-04-30,142.88507,53.36305894112677,39.97677329278761
2027-05-31,155.39268,53.36305894112677,39.97677329278761
2027-06-30,160.07898,53.36305894112677,39.97677329278761
2027-07-31,157.84163,53.36305894112677,39.97677329278761
2027-08-31,149.70555,53.36305894112677,39.97677329278761
2027-09-30,135.49768,53.36305894112677,39.97677329278761
2027-10-31,115.951836,53.36305894112677,39.97677329278761
2027-11-30,94.47636,53.36305894112677,39.97677329278761
2027-12-31,78.817764,53.36305894112677,39.97677329278761
2028-01-31,78.960945,53.36305894112677,39.97677329278761
2028-02-29,97.23976,53.36305894112677,39.97677329278761
2028-03-31,122.579185,53.36305894112677,39.97677329278761
2028-04-30,142.94551,53.36305894112677,39.97677329278761
2028-05-31,154.47163,53.36305894112677,39.97677329278761
2028-06-30,158.17093,53.36305894112677,39.97677329278761
2028-07-31,155.25159,53.36305894112677,39.97677329278761
2028-08-31,146.25934,53.36305894112677,39.97677329278761
2028-09-30,132.2786,53.36305894112677,39.97677329278761
2028-10-31,114.145935,53.36305894112677,39.97677329278761
2028-11-30,94.75787,53.36305894112677,39.97677329278761
2028-12-31,81.580315,53.36305894112677,39.97677329278761
2029-01-31,82.998535,53.36305894112677,39.97677329278761
2029-02-28,99.86542,53.36305894112677,39.97677329278761
2029-03-31,122.5315,53.36305894112677,39.97677329278761
2029-04-30,141.06906,53.36305894112677,39.97677329278761
2029-05-31,151.94476,53.36305894112677,39.97677329278761
2029-06-30,155.45859,53.36305894112677,39.97677329278761
2029-07-31,152.67073,53.36305894112677,39.97677329278761
2029-08-31,144.29164,53.36305894112677,39.97677329278761
2029-09-30,130.74373,53.36305894112677,39.97677329278761
