Date,Baringo_soil_forecast,Test_RMSE,Test_MAE
2024-10-31,30.344143,11.92526097500613,9.367912429635243
2024-11-30,24.748264,11.92526097500613,9.367912429635243
2024-12-31,17.276562,11.92526097500613,9.367912429635243
2025-01-31,12.392533,11.92526097500613,9.367912429635243
2025-02-28,10.480816,11.92526097500613,9.367912429635243
2025-03-31,11.475355,11.92526097500613,9.367912429635243
2025-04-30,14.616701,11.92526097500613,9.367912429635243
2025-05-31,18.753626,11.92526097500613,9.367912429635243
2025-06-30,22.625751,11.92526097500613,9.367912429635243
2025-07-31,25.300194,11.92526097500613,9.367912429635243
2025-08-31,26.15159,11.92526097500613,9.367912429635243
2025-09-30,25.117023,11.92526097500613,9.367912429635243
2025-10-31,22.619001,11.92526097500613,9.367912429635243
2025-11-30,19.430443,11.92526097500613,9.367912429635243
2025-12-31,16.32647,11.92526097500613,9.367912429635243
2026-01-31,14.151514,11.92526097500613,9.367912429635243
2026-02-28,13.34634,11.92526097500613,9.367912429635243
2026-03-31,13.963502,11.92526097500613,9.367912429635243
2026-04-30,15.712793,11.92526097500613,9.367912429635243
2026-05-31,18.005451,11.92526097500613,9.367912429635243
2026-06-30,20.093481,11.92526097500613,9.367912429635243
2026-07-31,21.642849,11.92526097500613,9.367912429635243
2026-08-31,22.223776,11.92526097500613,9.367912429635243
2026-09-30,21.626577,11.92526097500613,9.367912429635243
2026-10-31,20.241726,11.92526097500613,9.367912429635243
2026-11-30,18.50251,11.92526097500613,9.367912429635243
2026-12-31,16.804094,11.92526097500613,9.367912429635243
2027-01-31,15.536248,11.92526097500613,9.367912429635243
2027-02-28,14.943111,11.92526097500613,9.367912429635243
2027-03-31,15.077609,11.92526097500613,9.367912429635243
2027-04-30,15.8113985,11.92526097500613,9.367912429635243
2027-05-31,16.883276,11.92526097500613,9.367912429635243
2027-06-30,17.97662,11.92526097500613,9.367912429635243
2027-07-31,18.804249,11.92526097500613,9.367912429635243
2027-08-31,19.177471,11.92526097500613,9.367912429635243
2027-09-30,19.043367,11.92526097500613,9.367912429635243
2027-10-31,18.48255,11.92526097500613,9.367912429635243
2027-11-30,17.673382,11.92526097500613,9.367912429635243
2027-12-31,16.836302,11.92526097500613,9.367912429635243
2028-01-31,16.17521,11.92526097500613,9.367912429635243
2028-02-29,15.828545,11.92526097500613,9.367912429635243
2028-03-31,15.842585,11.92526097500613,9.367912429635243
2028-04-30,16.169859,11.92526097500613,9.367912429635243
2028-05-31,16.690344,11.92526097500613,9.367912429635243
2028-06-30,17.248838,11.92526097500613,9.367912429635243
2028-07-31,17.697723,11.92526097500613,9.367912429635243
2028-08-31,17.93189,11.92526097500613,9.367912429635243
2028-09-30,17.911444,11.92526097500613,9.367912429635243
2028-10-31,17.665302,11.92526097500613,9.367912429635243
2028-11-30,17.275002,11.92526097500613,9.367912429635243
2028-12-31,16.848688,11.92526097500613,9.367912429635243
2029-01-31,16.492016,11.92526097500613,9.367912429635243
2029-02-28,16.282341,11.92526097500613,9.367912429635243
2029-03-31,16.252703,11.92526097500613,9.367912429635243
2029-04-30,16.388393,11.92526097500613,9.367912429635243
2029-05-31,16.635586,11.92526097500613,9.367912429635243
2029-06-30,16.9187,11.92526097500613,9.367912429635243
2029-07-31,17.161465,11.92526097500613,9.367912429635243
2029-08-31,17.305946,11.92526097500613,9.367912429635243
2029-09-30,17.325027,11.92526097500613,9.367912429635243
