Date,Uasin Gishu_temp_forecast,Test_RMSE,Test_MAE
2024-10-31,18.78387,0.16407298462816766,0.13795430654793595
2024-11-30,18.489807,0.16407298462816766,0.13795430654793595
2024-12-31,18.158098,0.16407298462816766,0.13795430654793595
2025-01-31,18.66259,0.16407298462816766,0.13795430654793595
2025-02-28,20.198296,0.16407298462816766,0.13795430654793595
2025-03-31,20.875345,0.16407298462816766,0.13795430654793595
2025-04-30,20.066881,0.16407298462816766,0.13795430654793595
2025-05-31,19.028166,0.16407298462816766,0.13795430654793595
2025-06-30,18.062387,0.16407298462816766,0.13795430654793595
2025-07-31,17.67567,0.16407298462816766,0.13795430654793595
2025-08-31,18.078215,0.16407298462816766,0.13795430654793595
2025-09-30,18.6232,0.16407298462816766,0.13795430654793595
2025-10-31,18.80079,0.16407298462816766,0.13795430654793595
2025-11-30,18.582962,0.16407298462816766,0.13795430654793595
2025-12-31,18.151737,0.16407298462816766,0.13795430654793595
2026-01-31,18.351883,0.16407298462816766,0.13795430654793595
2026-02-28,19.80317,0.16407298462816766,0.13795430654793595
2026-03-31,20.754232,0.16407298462816766,0.13795430654793595
2026-04-30,20.012249,0.16407298462816766,0.13795430654793595
2026-05-31,19.084112,0.16407298462816766,0.13795430654793595
2026-06-30,18.199377,0.16407298462816766,0.13795430654793595
2026-07-31,17.781376,0.16407298462816766,0.13795430654793595
2026-08-31,18.086264,0.16407298462816766,0.13795430654793595
2026-09-30,18.52073,0.16407298462816766,0.13795430654793595
2026-10-31,18.702885,0.16407298462816766,0.13795430654793595
2026-11-30,18.555695,0.16407298462816766,0.13795430654793595
2026-12-31,18.195967,0.16407298462816766,0.13795430654793595
2027-01-31,18.3354,0.16407298462816766,0.13795430654793595
2027-02-28,19.519331,0.16407298462816766,0.13795430654793595
2027-03-31,20.492039,0.16407298462816766,0.13795430654793595
2027-04-30,19.940998,0.16407298462816766,0.13795430654793595
2027-05-31,19.108578,0.16407298462816766,0.13795430654793595
2027-06-30,18.34863,0.16407298462816766,0.13795430654793595
2027-07-31,18.003681,0.16407298462816766,0.13795430654793595
2027-08-31,18.165129,0.16407298462816766,0.13795430654793595
2027-09-30,18.446423,0.16407298462816766,0.13795430654793595
2027-10-31,18.599829,0.16407298462816766,0.13795430654793595
2027-11-30,18.50938,0.16407298462816766,0.13795430654793595
2027-12-31,18.253298,0.16407298462816766,0.13795430654793595
2028-01-31,18.36658,0.16407298462816766,0.13795430654793595
2028-02-29,19.291012,0.16407298462816766,0.13795430654793595
2028-03-31,20.25678,0.16407298462816766,0.13795430654793595
2028-04-30,19.912376,0.16407298462816766,0.13795430654793595
2028-05-31,19.185638,0.16407298462816766,0.13795430654793595
2028-06-30,18.512009,0.16407298462816766,0.13795430654793595
2028-07-31,18.149397,0.16407298462816766,0.13795430654793595
2028-08-31,18.203987,0.16407298462816766,0.13795430654793595
2028-09-30,18.403866,0.16407298462816766,0.13795430654793595
2028-10-31,18.53795,0.16407298462816766,0.13795430654793595
2028-11-30,18.487165,0.16407298462816766,0.13795430654793595
2028-12-31,18.300638,0.16407298462816766,0.13795430654793595
2029-01-31,18.397789,0.16407298462816766,0.13795430654793595
2029-02-28,19.158438,0.16407298462816766,0.13795430654793595
2029-03-31,20.033741,0.16407298462816766,0.13795430654793595
2029-04-30,19.881207,0.16407298462816766,0.13795430654793595
2029-05-31,19.264366,0.16407298462816766,0.13795430654793595
2029-06-30,18.667253,0.16407298462816766,0.13795430654793595
2029-07-31,18.293205,0.16407298462816766,0.13795430654793595
2029-08-31,18.242224,0.16407298462816766,0.13795430654793595
2029-09-30,18.372562,0.16407298462816766,0.13795430654793595
