Date,Bungoma_rain_forecast,Test_RMSE,Test_MAE
2024-10-31,120.08929,47.06545726283519,35.251647149362874
2024-11-30,91.69882,47.06545726283519,35.251647149362874
2024-12-31,62.875973,47.06545726283519,35.251647149362874
2025-01-31,53.910522,47.06545726283519,35.251647149362874
2025-02-28,80.67377,47.06545726283519,35.251647149362874
2025-03-31,122.9666,47.06545726283519,35.251647149362874
2025-04-30,146.18526,47.06545726283519,35.251647149362874
2025-05-31,157.22333,47.06545726283519,35.251647149362874
2025-06-30,162.02893,47.06545726283519,35.251647149362874
2025-07-31,159.45702,47.06545726283519,35.251647149362874
2025-08-31,153.49615,47.06545726283519,35.251647149362874
2025-09-30,142.02902,47.06545726283519,35.251647149362874
2025-10-31,121.886635,47.06545726283519,35.251647149362874
2025-11-30,92.774254,47.06545726283519,35.251647149362874
2025-12-31,63.755676,47.06545726283519,35.251647149362874
2026-01-31,52.279686,47.06545726283519,35.251647149362874
2026-02-28,74.06271,47.06545726283519,35.251647149362874
2026-03-31,113.72793,47.06545726283519,35.251647149362874
2026-04-30,147.00702,47.06545726283519,35.251647149362874
2026-05-31,161.07825,47.06545726283519,35.251647149362874
2026-06-30,164.76674,47.06545726283519,35.251647149362874
2026-07-31,164.07584,47.06545726283519,35.251647149362874
2026-08-31,153.0126,47.06545726283519,35.251647149362874
2026-09-30,139.4865,47.06545726283519,35.251647149362874
2026-10-31,120.70183,47.06545726283519,35.251647149362874
2026-11-30,92.8318,47.06545726283519,35.251647149362874
2026-12-31,64.383766,47.06545726283519,35.251647149362874
2027-01-31,53.662903,47.06545726283519,35.251647149362874
2027-02-28,75.18422,47.06545726283519,35.251647149362874
2027-03-31,114.42699,47.06545726283519,35.251647149362874
2027-04-30,145.03168,47.06545726283519,35.251647149362874
2027-05-31,159.9033,47.06545726283519,35.251647149362874
2027-06-30,163.52238,47.06545726283519,35.251647149362874
2027-07-31,160.68092,47.06545726283519,35.251647149362874
2027-08-31,153.49394,47.06545726283519,35.251647149362874
2027-09-30,141.17476,47.06545726283519,35.251647149362874
2027-10-31,121.50586,47.06545726283519,35.251647149362874
2027-11-30,93.981804,47.06545726283519,35.251647149362874
2027-12-31,65.49103,47.06545726283519,35.251647149362874
2028-01-31,53.834618,47.06545726283519,35.251647149362874
2028-02-29,74.0899,47.06545726283519,35.251647149362874
2028-03-31,113.17606,47.06545726283519,35.251647149362874
2028-04-30,144.4573,47.06545726283519,35.251647149362874
2028-05-31,159.48895,47.06545726283519,35.251647149362874
2028-06-30,163.11783,47.06545726283519,35.251647149362874
2028-07-31,160.31926,47.06545726283519,35.251647149362874
2028-08-31,153.11313,47.06545726283519,35.251647149362874
2028-09-30,141.0066,47.06545726283519,35.251647149362874
2028-10-31,121.73642,47.06545726283519,35.251647149362874
2028-11-30,94.73055,47.06545726283519,35.251647149362874
2028-12-31,66.63102,47.06545726283519,35.251647149362874
2029-01-31,54.691772,47.06545726283519,35.251647149362874
2029-02-28,73.8219,47.06545726283519,35.251647149362874
2029-03-31,111.9529,47.06545726283519,35.251647149362874
2029-04-30,143.10872,47.06545726283519,35.251647149362874
2029-05-31,158.53732,47.06545726283519,35.251647149362874
2029-06-30,162.48874,47.06545726283519,35.251647149362874
2029-07-31,159.92186,47.06545726283519,35.251647149362874
2029-08-31,152.97879,47.06545726283519,35.251647149362874
2029-09-30,141.06436,47.06545726283519,35.251647149362874
