Date,Nyandarua_temp_forecast,Test_RMSE,Test_MAE
2024-10-31,16.491764,0.16011791898310404,0.133236613390943
2024-11-30,16.453268,0.16011791898310404,0.133236613390943
2024-12-31,16.416334,0.16011791898310404,0.133236613390943
2025-01-31,16.787813,0.16011791898310404,0.133236613390943
2025-02-28,17.507751,0.16011791898310404,0.133236613390943
2025-03-31,17.91753,0.16011791898310404,0.133236613390943
2025-04-30,17.357416,0.16011791898310404,0.133236613390943
2025-05-31,16.439875,0.16011791898310404,0.133236613390943
2025-06-30,15.577224,0.16011791898310404,0.133236613390943
2025-07-31,15.149614,0.16011791898310404,0.133236613390943
2025-08-31,15.435146,0.16011791898310404,0.133236613390943
2025-09-30,16.102238,0.16011791898310404,0.133236613390943
2025-10-31,16.492558,0.16011791898310404,0.133236613390943
2025-11-30,16.455057,0.16011791898310404,0.133236613390943
2025-12-31,16.412231,0.16011791898310404,0.133236613390943
2026-01-31,16.759418,0.16011791898310404,0.133236613390943
2026-02-28,17.485989,0.16011791898310404,0.133236613390943
2026-03-31,17.937658,0.16011791898310404,0.133236613390943
2026-04-30,17.394463,0.16011791898310404,0.133236613390943
2026-05-31,16.490593,0.16011791898310404,0.133236613390943
2026-06-30,15.642608,0.16011791898310404,0.133236613390943
2026-07-31,15.219667,0.16011791898310404,0.133236613390943
2026-08-31,15.494512,0.16011791898310404,0.133236613390943
2026-09-30,16.1382,0.16011791898310404,0.133236613390943
2026-10-31,16.511395,0.16011791898310404,0.133236613390943
2026-11-30,16.477322,0.16011791898310404,0.133236613390943
2026-12-31,16.440996,0.16011791898310404,0.133236613390943
2027-01-31,16.833591,0.16011791898310404,0.133236613390943
2027-02-28,17.574053,0.16011791898310404,0.133236613390943
2027-03-31,17.937435,0.16011791898310404,0.133236613390943
2027-04-30,17.38337,0.16011791898310404,0.133236613390943
2027-05-31,16.49787,0.16011791898310404,0.133236613390943
2027-06-30,15.677915,0.16011791898310404,0.133236613390943
2027-07-31,15.289091,0.16011791898310404,0.133236613390943
2027-08-31,15.578687,0.16011791898310404,0.133236613390943
2027-09-30,16.199833,0.16011791898310404,0.133236613390943
2027-10-31,16.547152,0.16011791898310404,0.133236613390943
2027-11-30,16.502743,0.16011791898310404,0.133236613390943
2027-12-31,16.480095,0.16011791898310404,0.133236613390943
2028-01-31,16.88872,0.16011791898310404,0.133236613390943
2028-02-29,17.62047,0.16011791898310404,0.133236613390943
2028-03-31,17.957193,0.16011791898310404,0.133236613390943
2028-04-30,17.390545,0.16011791898310404,0.133236613390943
2028-05-31,16.508224,0.16011791898310404,0.133236613390943
2028-06-30,15.701732,0.16011791898310404,0.133236613390943
2028-07-31,15.333544,0.16011791898310404,0.133236613390943
2028-08-31,15.638092,0.16011791898310404,0.133236613390943
2028-09-30,16.254772,0.16011791898310404,0.133236613390943
2028-10-31,16.585463,0.16011791898310404,0.133236613390943
2028-11-30,16.529696,0.16011791898310404,0.133236613390943
2028-12-31,16.513302,0.16011791898310404,0.133236613390943
2029-01-31,16.939466,0.16011791898310404,0.133236613390943
2029-02-28,17.684908,0.16011791898310404,0.133236613390943
2029-03-31,17.9849,0.16011791898310404,0.133236613390943
2029-04-30,17.388208,0.16011791898310404,0.133236613390943
2029-05-31,16.503603,0.16011791898310404,0.133236613390943
2029-06-30,15.708687,0.16011791898310404,0.133236613390943
2029-07-31,15.36589,0.16011791898310404,0.133236613390943
2029-08-31,15.694361,0.16011791898310404,0.133236613390943
2029-09-30,16.310198,0.16011791898310404,0.133236613390943
