Date,Murang'a_rain_forecast,Test_RMSE,Test_MAE
2024-10-31,67.69619,133.06697679652396,81.31705286850531
2024-11-30,70.72721,133.06697679652396,81.31705286850531
2024-12-31,73.1576,133.06697679652396,81.31705286850531
2025-01-31,75.22356,133.06697679652396,81.31705286850531
2025-02-28,76.669266,133.06697679652396,81.31705286850531
2025-03-31,77.54437,133.06697679652396,81.31705286850531
2025-04-30,77.73436,133.06697679652396,81.31705286850531
2025-05-31,77.551575,133.06697679652396,81.31705286850531
2025-06-30,77.44984,133.06697679652396,81.31705286850531
2025-07-31,77.19895,133.06697679652396,81.31705286850531
2025-08-31,76.9127,133.06697679652396,81.31705286850531
2025-09-30,76.59411,133.06697679652396,81.31705286850531
2025-10-31,76.24846,133.06697679652396,81.31705286850531
2025-11-30,75.93864,133.06697679652396,81.31705286850531
2025-12-31,75.46037,133.06697679652396,81.31705286850531
2026-01-31,75.25582,133.06697679652396,81.31705286850531
2026-02-28,75.03392,133.06697679652396,81.31705286850531
2026-03-31,74.89674,133.06697679652396,81.31705286850531
2026-04-30,74.80673,133.06697679652396,81.31705286850531
2026-05-31,74.12586,133.06697679652396,81.31705286850531
2026-06-30,73.92808,133.06697679652396,81.31705286850531
2026-07-31,74.0952,133.06697679652396,81.31705286850531
2026-08-31,74.170425,133.06697679652396,81.31705286850531
2026-09-30,74.288795,133.06697679652396,81.31705286850531
2026-10-31,74.399025,133.06697679652396,81.31705286850531
2026-11-30,74.411934,133.06697679652396,81.31705286850531
2026-12-31,74.41217,133.06697679652396,81.31705286850531
2027-01-31,74.40366,133.06697679652396,81.31705286850531
2027-02-28,74.38968,133.06697679652396,81.31705286850531
2027-03-31,74.37318,133.06697679652396,81.31705286850531
2027-04-30,74.35644,133.06697679652396,81.31705286850531
2027-05-31,74.3412,133.06697679652396,81.31705286850531
2027-06-30,74.32824,133.06697679652396,81.31705286850531
2027-07-31,74.317474,133.06697679652396,81.31705286850531
2027-08-31,74.30896,133.06697679652396,81.31705286850531
2027-09-30,74.30246,133.06697679652396,81.31705286850531
2027-10-31,74.29766,133.06697679652396,81.31705286850531
2027-11-30,74.2943,133.06697679652396,81.31705286850531
2027-12-31,74.292,133.06697679652396,81.31705286850531
2028-01-31,74.29071,133.06697679652396,81.31705286850531
2028-02-29,74.28991,133.06697679652396,81.31705286850531
2028-03-31,74.289444,133.06697679652396,81.31705286850531
2028-04-30,74.28913,133.06697679652396,81.31705286850531
2028-05-31,74.288895,133.06697679652396,81.31705286850531
2028-06-30,74.28936,133.06697679652396,81.31705286850531
2028-07-31,74.289825,133.06697679652396,81.31705286850531
2028-08-31,74.28989,133.06697679652396,81.31705286850531
2028-09-30,74.28976,133.06697679652396,81.31705286850531
2028-10-31,74.28942,133.06697679652396,81.31705286850531
2028-11-30,74.28894,133.06697679652396,81.31705286850531
2028-12-31,74.28852,133.06697679652396,81.31705286850531
2029-01-31,74.28812,133.06697679652396,81.31705286850531
2029-02-28,74.28779,133.06697679652396,81.31705286850531
2029-03-31,74.28753,133.06697679652396,81.31705286850531
2029-04-30,74.28735,133.06697679652396,81.31705286850531
2029-05-31,74.28722,133.06697679652396,81.31705286850531
2029-06-30,74.28712,133.06697679652396,81.31705286850531
2029-07-31,74.287056,133.06697679652396,81.31705286850531
2029-08-31,74.287,133.06697679652396,81.31705286850531
2029-09-30,74.28698,133.06697679652396,81.31705286850531
