Date,Bomet_soil_forecast,Test_RMSE,Test_MAE
2024-10-31,20.375698,10.572747489744554,8.368414283439677
2024-11-30,21.63597,10.572747489744554,8.368414283439677
2024-12-31,21.409681,10.572747489744554,8.368414283439677
2025-01-31,20.958635,10.572747489744554,8.368414283439677
2025-02-28,20.870691,10.572747489744554,8.368414283439677
2025-03-31,21.503735,10.572747489744554,8.368414283439677
2025-04-30,22.714943,10.572747489744554,8.368414283439677
2025-05-31,23.77866,10.572747489744554,8.368414283439677
2025-06-30,24.300602,10.572747489744554,8.368414283439677
2025-07-31,24.339457,10.572747489744554,8.368414283439677
2025-08-31,24.010021,10.572747489744554,8.368414283439677
2025-09-30,23.59598,10.572747489744554,8.368414283439677
2025-10-31,23.133482,10.572747489744554,8.368414283439677
2025-11-30,22.656021,10.572747489744554,8.368414283439677
2025-12-31,22.16127,10.572747489744554,8.368414283439677
2026-01-31,21.875547,10.572747489744554,8.368414283439677
2026-02-28,21.838226,10.572747489744554,8.368414283439677
2026-03-31,22.2637,10.572747489744554,8.368414283439677
2026-04-30,23.069942,10.572747489744554,8.368414283439677
2026-05-31,23.85087,10.572747489744554,8.368414283439677
2026-06-30,24.250391,10.572747489744554,8.368414283439677
2026-07-31,24.409311,10.572747489744554,8.368414283439677
2026-08-31,24.303963,10.572747489744554,8.368414283439677
2026-09-30,23.877031,10.572747489744554,8.368414283439677
2026-10-31,23.429882,10.572747489744554,8.368414283439677
2026-11-30,23.068295,10.572747489744554,8.368414283439677
2026-12-31,22.819323,10.572747489744554,8.368414283439677
2027-01-31,22.72525,10.572747489744554,8.368414283439677
2027-02-28,22.80643,10.572747489744554,8.368414283439677
2027-03-31,23.039185,10.572747489744554,8.368414283439677
2027-04-30,23.355553,10.572747489744554,8.368414283439677
2027-05-31,23.663599,10.572747489744554,8.368414283439677
2027-06-30,23.882425,10.572747489744554,8.368414283439677
2027-07-31,23.967237,10.572747489744554,8.368414283439677
2027-08-31,23.91412,10.572747489744554,8.368414283439677
2027-09-30,23.752748,10.572747489744554,8.368414283439677
2027-10-31,23.532238,10.572747489744554,8.368414283439677
2027-11-30,23.309118,10.572747489744554,8.368414283439677
2027-12-31,23.136398,10.572747489744554,8.368414283439677
2028-01-31,23.053741,10.572747489744554,8.368414283439677
2028-02-29,23.077034,10.572747489744554,8.368414283439677
2028-03-31,23.194538,10.572747489744554,8.368414283439677
2028-04-30,23.3681,10.572747489744554,8.368414283439677
2028-05-31,23.544598,10.572747489744554,8.368414283439677
2028-06-30,23.67539,10.572747489744554,8.368414283439677
2028-07-31,23.732193,10.572747489744554,8.368414283439677
2028-08-31,23.709278,10.572747489744554,8.368414283439677
2028-09-30,23.621117,10.572747489744554,8.368414283439677
2028-10-31,23.49748,10.572747489744554,8.368414283439677
2028-11-30,23.372583,10.572747489744554,8.368414283439677
2028-12-31,23.276646,10.572747489744554,8.368414283439677
2029-01-31,23.230398,10.572747489744554,8.368414283439677
2029-02-28,23.241058,10.572747489744554,8.368414283439677
2029-03-31,23.301111,10.572747489744554,8.368414283439677
2029-04-30,23.390903,10.572747489744554,8.368414283439677
2029-05-31,23.484636,10.572747489744554,8.368414283439677
2029-06-30,23.557882,10.572747489744554,8.368414283439677
2029-07-31,23.594051,10.572747489744554,8.368414283439677
2029-08-31,23.587826,10.572747489744554,8.368414283439677
2029-09-30,23.545103,10.572747489744554,8.368414283439677
