Date,Makueni_temp_forecast,Test_RMSE,Test_MAE
2024-10-31,22.61403,0.3321336180493076,0.2800230231849392
2024-11-30,22.928116,0.3321336180493076,0.2800230231849392
2024-12-31,23.255507,0.3321336180493076,0.2800230231849392
2025-01-31,23.593227,0.3321336180493076,0.2800230231849392
2025-02-28,23.925903,0.3321336180493076,0.2800230231849392
2025-03-31,24.059698,0.3321336180493076,0.2800230231849392
2025-04-30,23.389633,0.3321336180493076,0.2800230231849392
2025-05-31,21.922276,0.3321336180493076,0.2800230231849392
2025-06-30,20.82708,0.3321336180493076,0.2800230231849392
2025-07-31,20.991905,0.3321336180493076,0.2800230231849392
2025-08-31,21.667715,0.3321336180493076,0.2800230231849392
2025-09-30,22.237345,0.3321336180493076,0.2800230231849392
2025-10-31,22.612637,0.3321336180493076,0.2800230231849392
2025-11-30,22.91685,0.3321336180493076,0.2800230231849392
2025-12-31,23.239304,0.3321336180493076,0.2800230231849392
2026-01-31,23.57457,0.3321336180493076,0.2800230231849392
2026-02-28,23.916483,0.3321336180493076,0.2800230231849392
2026-03-31,24.08153,0.3321336180493076,0.2800230231849392
2026-04-30,23.413149,0.3321336180493076,0.2800230231849392
2026-05-31,21.853146,0.3321336180493076,0.2800230231849392
2026-06-30,20.742317,0.3321336180493076,0.2800230231849392
2026-07-31,20.966097,0.3321336180493076,0.2800230231849392
2026-08-31,21.674274,0.3321336180493076,0.2800230231849392
2026-09-30,22.249578,0.3321336180493076,0.2800230231849392
2026-10-31,22.639925,0.3321336180493076,0.2800230231849392
2026-11-30,22.972559,0.3321336180493076,0.2800230231849392
2026-12-31,23.308455,0.3321336180493076,0.2800230231849392
2027-01-31,23.684656,0.3321336180493076,0.2800230231849392
2027-02-28,24.042257,0.3321336180493076,0.2800230231849392
2027-03-31,24.06872,0.3321336180493076,0.2800230231849392
2027-04-30,23.228613,0.3321336180493076,0.2800230231849392
2027-05-31,21.656303,0.3321336180493076,0.2800230231849392
2027-06-30,20.716976,0.3321336180493076,0.2800230231849392
2027-07-31,21.094374,0.3321336180493076,0.2800230231849392
2027-08-31,21.780293,0.3321336180493076,0.2800230231849392
2027-09-30,22.303082,0.3321336180493076,0.2800230231849392
2027-10-31,22.68686,0.3321336180493076,0.2800230231849392
2027-11-30,23.012863,0.3321336180493076,0.2800230231849392
2027-12-31,23.346933,0.3321336180493076,0.2800230231849392
2028-01-31,23.722897,0.3321336180493076,0.2800230231849392
2028-02-29,24.0734,0.3321336180493076,0.2800230231849392
2028-03-31,24.068829,0.3321336180493076,0.2800230231849392
2028-04-30,23.166914,0.3321336180493076,0.2800230231849392
2028-05-31,21.558828,0.3321336180493076,0.2800230231849392
2028-06-30,20.682863,0.3321336180493076,0.2800230231849392
2028-07-31,21.132376,0.3321336180493076,0.2800230231849392
2028-08-31,21.829294,0.3321336180493076,0.2800230231849392
2028-09-30,22.348328,0.3321336180493076,0.2800230231849392
2028-10-31,22.73035,0.3321336180493076,0.2800230231849392
2028-11-30,23.059748,0.3321336180493076,0.2800230231849392
2028-12-31,23.403841,0.3321336180493076,0.2800230231849392
2029-01-31,23.794525,0.3321336180493076,0.2800230231849392
2029-02-28,24.149298,0.3321336180493076,0.2800230231849392
2029-03-31,24.088942,0.3321336180493076,0.2800230231849392
2029-04-30,23.058493,0.3321336180493076,0.2800230231849392
2029-05-31,21.410349,0.3321336180493076,0.2800230231849392
2029-06-30,20.674252,0.3321336180493076,0.2800230231849392
2029-07-31,21.217705,0.3321336180493076,0.2800230231849392
2029-08-31,21.906439,0.3321336180493076,0.2800230231849392
2029-09-30,22.409521,0.3321336180493076,0.2800230231849392
