Date,Murang'a_temp_forecast,Test_RMSE,Test_MAE
2024-10-31,18.67963,0.2880480855398438,0.24370216323073005
2024-11-30,18.597889,0.2880480855398438,0.24370216323073005
2024-12-31,18.769062,0.2880480855398438,0.24370216323073005
2025-01-31,19.11192,0.2880480855398438,0.24370216323073005
2025-02-28,19.653496,0.2880480855398438,0.24370216323073005
2025-03-31,20.250187,0.2880480855398438,0.24370216323073005
2025-04-30,19.55882,0.2880480855398438,0.24370216323073005
2025-05-31,18.059715,0.2880480855398438,0.24370216323073005
2025-06-30,17.119492,0.2880480855398438,0.24370216323073005
2025-07-31,17.01886,0.2880480855398438,0.24370216323073005
2025-08-31,17.797472,0.2880480855398438,0.24370216323073005
2025-09-30,18.501862,0.2880480855398438,0.24370216323073005
2025-10-31,18.599064,0.2880480855398438,0.24370216323073005
2025-11-30,18.509146,0.2880480855398438,0.24370216323073005
2025-12-31,18.715363,0.2880480855398438,0.24370216323073005
2026-01-31,19.100353,0.2880480855398438,0.24370216323073005
2026-02-28,19.712332,0.2880480855398438,0.24370216323073005
2026-03-31,20.487486,0.2880480855398438,0.24370216323073005
2026-04-30,19.763523,0.2880480855398438,0.24370216323073005
2026-05-31,18.198606,0.2880480855398438,0.24370216323073005
2026-06-30,17.137606,0.2880480855398438,0.24370216323073005
2026-07-31,16.962337,0.2880480855398438,0.24370216323073005
2026-08-31,17.745943,0.2880480855398438,0.24370216323073005
2026-09-30,18.45495,0.2880480855398438,0.24370216323073005
2026-10-31,18.561049,0.2880480855398438,0.24370216323073005
2026-11-30,18.629261,0.2880480855398438,0.24370216323073005
2026-12-31,18.86164,0.2880480855398438,0.24370216323073005
2027-01-31,19.277988,0.2880480855398438,0.24370216323073005
2027-02-28,19.935858,0.2880480855398438,0.24370216323073005
2027-03-31,20.615551,0.2880480855398438,0.24370216323073005
2027-04-30,19.854326,0.2880480855398438,0.24370216323073005
2027-05-31,18.192701,0.2880480855398438,0.24370216323073005
2027-06-30,17.185343,0.2880480855398438,0.24370216323073005
2027-07-31,17.167349,0.2880480855398438,0.24370216323073005
2027-08-31,17.963984,0.2880480855398438,0.24370216323073005
2027-09-30,18.457405,0.2880480855398438,0.24370216323073005
2027-10-31,18.508509,0.2880480855398438,0.24370216323073005
2027-11-30,18.563042,0.2880480855398438,0.24370216323073005
2027-12-31,18.800419,0.2880480855398438,0.24370216323073005
2028-01-31,19.224174,0.2880480855398438,0.24370216323073005
2028-02-29,19.908714,0.2880480855398438,0.24370216323073005
2028-03-31,20.78962,0.2880480855398438,0.24370216323073005
2028-04-30,20.328148,0.2880480855398438,0.24370216323073005
2028-05-31,18.585579,0.2880480855398438,0.24370216323073005
2028-06-30,17.347496,0.2880480855398438,0.24370216323073005
2028-07-31,17.019934,0.2880480855398438,0.24370216323073005
2028-08-31,17.743528,0.2880480855398438,0.24370216323073005
2028-09-30,18.314528,0.2880480855398438,0.24370216323073005
2028-10-31,18.432291,0.2880480855398438,0.24370216323073005
2028-11-30,18.537846,0.2880480855398438,0.24370216323073005
2028-12-31,18.790195,0.2880480855398438,0.24370216323073005
2029-01-31,19.243052,0.2880480855398438,0.24370216323073005
2029-02-28,19.982271,0.2880480855398438,0.24370216323073005
2029-03-31,20.997519,0.2880480855398438,0.24370216323073005
2029-04-30,20.684422,0.2880480855398438,0.24370216323073005
2029-05-31,18.843006,0.2880480855398438,0.24370216323073005
2029-06-30,17.499187,0.2880480855398438,0.24370216323073005
2029-07-31,17.097271,0.2880480855398438,0.24370216323073005
2029-08-31,17.714054,0.2880480855398438,0.24370216323073005
2029-09-30,18.173038,0.2880480855398438,0.24370216323073005
