Date,Baringo_rain_forecast,Test_RMSE,Test_MAE
2024-10-31,83.46287,71.39819006759515,56.81025240997914
2024-11-30,81.0091,71.39819006759515,56.81025240997914
2024-12-31,79.15437,71.39819006759515,56.81025240997914
2025-01-31,79.062744,71.39819006759515,56.81025240997914
2025-02-28,79.8682,71.39819006759515,56.81025240997914
2025-03-31,81.12743,71.39819006759515,56.81025240997914
2025-04-30,81.56215,71.39819006759515,56.81025240997914
2025-05-31,82.50364,71.39819006759515,56.81025240997914
2025-06-30,83.81812,71.39819006759515,56.81025240997914
2025-07-31,85.108406,71.39819006759515,56.81025240997914
2025-08-31,86.114655,71.39819006759515,56.81025240997914
2025-09-30,86.84071,71.39819006759515,56.81025240997914
2025-10-31,86.99411,71.39819006759515,56.81025240997914
2025-11-30,86.970955,71.39819006759515,56.81025240997914
2025-12-31,86.82143,71.39819006759515,56.81025240997914
2026-01-31,86.87773,71.39819006759515,56.81025240997914
2026-02-28,86.65876,71.39819006759515,56.81025240997914
2026-03-31,86.37773,71.39819006759515,56.81025240997914
2026-04-30,86.1322,71.39819006759515,56.81025240997914
2026-05-31,85.2566,71.39819006759515,56.81025240997914
2026-06-30,84.50897,71.39819006759515,56.81025240997914
2026-07-31,84.58222,71.39819006759515,56.81025240997914
2026-08-31,83.50971,71.39819006759515,56.81025240997914
2026-09-30,82.97265,71.39819006759515,56.81025240997914
2026-10-31,83.37191,71.39819006759515,56.81025240997914
2026-11-30,83.46687,71.39819006759515,56.81025240997914
2026-12-31,83.58055,71.39819006759515,56.81025240997914
2027-01-31,83.694374,71.39819006759515,56.81025240997914
2027-02-28,83.78834,71.39819006759515,56.81025240997914
2027-03-31,83.85272,71.39819006759515,56.81025240997914
2027-04-30,83.88458,71.39819006759515,56.81025240997914
2027-05-31,83.89058,71.39819006759515,56.81025240997914
2027-06-30,83.871796,71.39819006759515,56.81025240997914
2027-07-31,83.83173,71.39819006759515,56.81025240997914
2027-08-31,83.77644,71.39819006759515,56.81025240997914
2027-09-30,83.71303,71.39819006759515,56.81025240997914
2027-10-31,83.64752,71.39819006759515,56.81025240997914
2027-11-30,83.58619,71.39819006759515,56.81025240997914
2027-12-31,83.53178,71.39819006759515,56.81025240997914
2028-01-31,83.48576,71.39819006759515,56.81025240997914
2028-02-29,83.447075,71.39819006759515,56.81025240997914
2028-03-31,83.4167,71.39819006759515,56.81025240997914
2028-04-30,83.39397,71.39819006759515,56.81025240997914
2028-05-31,83.37735,71.39819006759515,56.81025240997914
2028-06-30,83.36867,71.39819006759515,56.81025240997914
2028-07-31,83.36537,71.39819006759515,56.81025240997914
2028-08-31,83.36186,71.39819006759515,56.81025240997914
2028-09-30,83.36336,71.39819006759515,56.81025240997914
2028-10-31,83.365746,71.39819006759515,56.81025240997914
2028-11-30,83.36376,71.39819006759515,56.81025240997914
2028-12-31,83.35958,71.39819006759515,56.81025240997914
2029-01-31,83.35346,71.39819006759515,56.81025240997914
2029-02-28,83.345856,71.39819006759515,56.81025240997914
2029-03-31,83.337326,71.39819006759515,56.81025240997914
2029-04-30,83.32847,71.39819006759515,56.81025240997914
2029-05-31,83.319824,71.39819006759515,56.81025240997914
2029-06-30,83.31172,71.39819006759515,56.81025240997914
2029-07-31,83.30446,71.39819006759515,56.81025240997914
2029-08-31,83.29819,71.39819006759515,56.81025240997914
2029-09-30,83.29295,71.39819006759515,56.81025240997914
