Date,Makueni_rain_forecast,Test_RMSE,Test_MAE
2024-10-31,27.299572,91.28510635104382,53.45236576644964
2024-11-30,51.535496,91.28510635104382,53.45236576644964
2024-12-31,63.777042,91.28510635104382,53.45236576644964
2025-01-31,72.03223,91.28510635104382,53.45236576644964
2025-02-28,81.0013,91.28510635104382,53.45236576644964
2025-03-31,88.82882,91.28510635104382,53.45236576644964
2025-04-30,81.41727,91.28510635104382,53.45236576644964
2025-05-31,52.208313,91.28510635104382,53.45236576644964
2025-06-30,27.763441,91.28510635104382,53.45236576644964
2025-07-31,2.000788,91.28510635104382,53.45236576644964
2025-08-31,-11.311687,91.28510635104382,53.45236576644964
2025-09-30,0.5902034,91.28510635104382,53.45236576644964
2025-10-31,34.82187,91.28510635104382,53.45236576644964
2025-11-30,70.48567,91.28510635104382,53.45236576644964
2025-12-31,75.05669,91.28510635104382,53.45236576644964
2026-01-31,90.58406,91.28510635104382,53.45236576644964
2026-02-28,93.2269,91.28510635104382,53.45236576644964
2026-03-31,93.6063,91.28510635104382,53.45236576644964
2026-04-30,89.53653,91.28510635104382,53.45236576644964
2026-05-31,61.890556,91.28510635104382,53.45236576644964
2026-06-30,25.144049,91.28510635104382,53.45236576644964
2026-07-31,5.967404,91.28510635104382,53.45236576644964
2026-08-31,-4.461115,91.28510635104382,53.45236576644964
2026-09-30,7.310127,91.28510635104382,53.45236576644964
2026-10-31,36.275177,91.28510635104382,53.45236576644964
2026-11-30,63.534374,91.28510635104382,53.45236576644964
2026-12-31,79.90331,91.28510635104382,53.45236576644964
2027-01-31,86.41698,91.28510635104382,53.45236576644964
2027-02-28,86.899506,91.28510635104382,53.45236576644964
2027-03-31,82.493576,91.28510635104382,53.45236576644964
2027-04-30,70.66479,91.28510635104382,53.45236576644964
2027-05-31,49.643806,91.28510635104382,53.45236576644964
2027-06-30,23.178522,91.28510635104382,53.45236576644964
2027-07-31,-1.213013,91.28510635104382,53.45236576644964
2027-08-31,-8.482672,91.28510635104382,53.45236576644964
2027-09-30,10.234245,91.28510635104382,53.45236576644964
2027-10-31,43.31595,91.28510635104382,53.45236576644964
2027-11-30,70.7906,91.28510635104382,53.45236576644964
2027-12-31,84.63618,91.28510635104382,53.45236576644964
2028-01-31,89.40998,91.28510635104382,53.45236576644964
2028-02-29,87.49251,91.28510635104382,53.45236576644964
2028-03-31,80.989815,91.28510635104382,53.45236576644964
2028-04-30,67.60111,91.28510635104382,53.45236576644964
2028-05-31,44.933983,91.28510635104382,53.45236576644964
2028-06-30,17.99339,91.28510635104382,53.45236576644964
2028-07-31,-2.0024786,91.28510635104382,53.45236576644964
2028-08-31,-3.6057584,91.28510635104382,53.45236576644964
2028-09-30,18.527143,91.28510635104382,53.45236576644964
2028-10-31,50.376453,91.28510635104382,53.45236576644964
2028-11-30,74.24616,91.28510635104382,53.45236576644964
2028-12-31,85.32213,91.28510635104382,53.45236576644964
2029-01-31,87.51056,91.28510635104382,53.45236576644964
2029-02-28,84.63831,91.28510635104382,53.45236576644964
2029-03-31,76.83805,91.28510635104382,53.45236576644964
2029-04-30,61.90048,91.28510635104382,53.45236576644964
2029-05-31,39.072777,91.28510635104382,53.45236576644964
2029-06-30,12.866637,91.28510635104382,53.45236576644964
2029-07-31,-5.318481,91.28510635104382,53.45236576644964
2029-08-31,-1.4370638,91.28510635104382,53.45236576644964
2029-09-30,25.305265,91.28510635104382,53.45236576644964
