Date,Laikipia_rain_forecast,Test_RMSE,Test_MAE
2024-10-31,69.27414,76.75334753302369,52.12963867860456
2024-11-30,68.40936,76.75334753302369,52.12963867860456
2024-12-31,67.70278,76.75334753302369,52.12963867860456
2025-01-31,67.50572,76.75334753302369,52.12963867860456
2025-02-28,67.50216,76.75334753302369,52.12963867860456
2025-03-31,67.56606,76.75334753302369,52.12963867860456
2025-04-30,67.29995,76.75334753302369,52.12963867860456
2025-05-31,67.05622,76.75334753302369,52.12963867860456
2025-06-30,67.104706,76.75334753302369,52.12963867860456
2025-07-31,67.20238,76.75334753302369,52.12963867860456
2025-08-31,67.308846,76.75334753302369,52.12963867860456
2025-09-30,67.36673,76.75334753302369,52.12963867860456
2025-10-31,67.34341,76.75334753302369,52.12963867860456
2025-11-30,67.22858,76.75334753302369,52.12963867860456
2025-12-31,66.93595,76.75334753302369,52.12963867860456
2026-01-31,66.986435,76.75334753302369,52.12963867860456
2026-02-28,66.96883,76.75334753302369,52.12963867860456
2026-03-31,66.90219,76.75334753302369,52.12963867860456
2026-04-30,66.910355,76.75334753302369,52.12963867860456
2026-05-31,66.49849,76.75334753302369,52.12963867860456
2026-06-30,66.25356,76.75334753302369,52.12963867860456
2026-07-31,66.34873,76.75334753302369,52.12963867860456
2026-08-31,66.13165,76.75334753302369,52.12963867860456
2026-09-30,66.01502,76.75334753302369,52.12963867860456
2026-10-31,66.12398,76.75334753302369,52.12963867860456
2026-11-30,66.10608,76.75334753302369,52.12963867860456
2026-12-31,66.092926,76.75334753302369,52.12963867860456
2027-01-31,66.083015,76.75334753302369,52.12963867860456
2027-02-28,66.074486,76.75334753302369,52.12963867860456
2027-03-31,66.0665,76.75334753302369,52.12963867860456
2027-04-30,66.05873,76.75334753302369,52.12963867860456
2027-05-31,66.05174,76.75334753302369,52.12963867860456
2027-06-30,66.04541,76.75334753302369,52.12963867860456
2027-07-31,66.03907,76.75334753302369,52.12963867860456
2027-08-31,66.03268,76.75334753302369,52.12963867860456
2027-09-30,66.02627,76.75334753302369,52.12963867860456
2027-10-31,66.02003,76.75334753302369,52.12963867860456
2027-11-30,66.01417,76.75334753302369,52.12963867860456
2027-12-31,66.0089,76.75334753302369,52.12963867860456
2028-01-31,66.004585,76.75334753302369,52.12963867860456
2028-02-29,66.00046,76.75334753302369,52.12963867860456
2028-03-31,65.99669,76.75334753302369,52.12963867860456
2028-04-30,65.99334,76.75334753302369,52.12963867860456
2028-05-31,65.99028,76.75334753302369,52.12963867860456
2028-06-30,65.98834,76.75334753302369,52.12963867860456
2028-07-31,65.98709,76.75334753302369,52.12963867860456
2028-08-31,65.985725,76.75334753302369,52.12963867860456
2028-09-30,65.984955,76.75334753302369,52.12963867860456
2028-10-31,65.98446,76.75334753302369,52.12963867860456
2028-11-30,65.98379,76.75334753302369,52.12963867860456
2028-12-31,65.983185,76.75334753302369,52.12963867860456
2029-01-31,65.98266,76.75334753302369,52.12963867860456
2029-02-28,65.982185,76.75334753302369,52.12963867860456
2029-03-31,65.98174,76.75334753302369,52.12963867860456
2029-04-30,65.98134,76.75334753302369,52.12963867860456
2029-05-31,65.98099,76.75334753302369,52.12963867860456
2029-06-30,65.98067,76.75334753302369,52.12963867860456
2029-07-31,65.98038,76.75334753302369,52.12963867860456
2029-08-31,65.98012,76.75334753302369,52.12963867860456
2029-09-30,65.97989,76.75334753302369,52.12963867860456
