Date,Embu_soil_forecast,Test_RMSE,Test_MAE
2024-10-31,16.851706,15.609774978882605,11.852201516269355
2024-11-30,21.997015,15.609774978882605,11.852201516269355
2024-12-31,23.521994,15.609774978882605,11.852201516269355
2025-01-31,23.069044,15.609774978882605,11.852201516269355
2025-02-28,21.990088,15.609774978882605,11.852201516269355
2025-03-31,21.033955,15.609774978882605,11.852201516269355
2025-04-30,20.427671,15.609774978882605,11.852201516269355
2025-05-31,20.138226,15.609774978882605,11.852201516269355
2025-06-30,20.03005,15.609774978882605,11.852201516269355
2025-07-31,19.986692,15.609774978882605,11.852201516269355
2025-08-31,19.95714,15.609774978882605,11.852201516269355
2025-09-30,19.930893,15.609774978882605,11.852201516269355
2025-10-31,19.912115,15.609774978882605,11.852201516269355
2025-11-30,19.906956,15.609774978882605,11.852201516269355
2025-12-31,19.933775,15.609774978882605,11.852201516269355
2026-01-31,19.974802,15.609774978882605,11.852201516269355
2026-02-28,20.01111,15.609774978882605,11.852201516269355
2026-03-31,20.04062,15.609774978882605,11.852201516269355
2026-04-30,20.067825,15.609774978882605,11.852201516269355
2026-05-31,20.11165,15.609774978882605,11.852201516269355
2026-06-30,20.170979,15.609774978882605,11.852201516269355
2026-07-31,20.21377,15.609774978882605,11.852201516269355
2026-08-31,20.23407,15.609774978882605,11.852201516269355
2026-09-30,20.240173,15.609774978882605,11.852201516269355
2026-10-31,20.241228,15.609774978882605,11.852201516269355
2026-11-30,20.245579,15.609774978882605,11.852201516269355
2026-12-31,20.25523,15.609774978882605,11.852201516269355
2027-01-31,20.26726,15.609774978882605,11.852201516269355
2027-02-28,20.278257,15.609774978882605,11.852201516269355
2027-03-31,20.286446,15.609774978882605,11.852201516269355
2027-04-30,20.29169,15.609774978882605,11.852201516269355
2027-05-31,20.294744,15.609774978882605,11.852201516269355
2027-06-30,20.296473,15.609774978882605,11.852201516269355
2027-07-31,20.297495,15.609774978882605,11.852201516269355
2027-08-31,20.298122,15.609774978882605,11.852201516269355
2027-09-30,20.29847,15.609774978882605,11.852201516269355
2027-10-31,20.298567,15.609774978882605,11.852201516269355
2027-11-30,20.298439,15.609774978882605,11.852201516269355
2027-12-31,20.298134,15.609774978882605,11.852201516269355
2028-01-31,20.297718,15.609774978882605,11.852201516269355
2028-02-29,20.29724,15.609774978882605,11.852201516269355
2028-03-31,20.296741,15.609774978882605,11.852201516269355
2028-04-30,20.296255,15.609774978882605,11.852201516269355
2028-05-31,20.29579,15.609774978882605,11.852201516269355
2028-06-30,20.295364,15.609774978882605,11.852201516269355
2028-07-31,20.29499,15.609774978882605,11.852201516269355
2028-08-31,20.294668,15.609774978882605,11.852201516269355
2028-09-30,20.294388,15.609774978882605,11.852201516269355
2028-10-31,20.29414,15.609774978882605,11.852201516269355
2028-11-30,20.29392,15.609774978882605,11.852201516269355
2028-12-31,20.293732,15.609774978882605,11.852201516269355
2029-01-31,20.293568,15.609774978882605,11.852201516269355
2029-02-28,20.293442,15.609774978882605,11.852201516269355
2029-03-31,20.293344,15.609774978882605,11.852201516269355
2029-04-30,20.293272,15.609774978882605,11.852201516269355
2029-05-31,20.293219,15.609774978882605,11.852201516269355
2029-06-30,20.293184,15.609774978882605,11.852201516269355
2029-07-31,20.293156,15.609774978882605,11.852201516269355
2029-08-31,20.29314,15.609774978882605,11.852201516269355
2029-09-30,20.293129,15.609774978882605,11.852201516269355
