Date,Uasin Gishu_soil_forecast,Test_RMSE,Test_MAE
2024-10-31,35.30608,11.519532031987275,9.344490697947881
2024-11-30,29.20482,11.519532031987275,9.344490697947881
2024-12-31,21.245163,11.519532031987275,9.344490697947881
2025-01-31,14.838914,11.519532031987275,9.344490697947881
2025-02-28,12.469965,11.519532031987275,9.344490697947881
2025-03-31,14.768166,11.519532031987275,9.344490697947881
2025-04-30,20.055689,11.519532031987275,9.344490697947881
2025-05-31,25.635118,11.519532031987275,9.344490697947881
2025-06-30,29.66789,11.519532031987275,9.344490697947881
2025-07-31,32.10517,11.519532031987275,9.344490697947881
2025-08-31,32.824146,11.519532031987275,9.344490697947881
2025-09-30,31.867939,11.519532031987275,9.344490697947881
2025-10-31,29.127625,11.519532031987275,9.344490697947881
2025-11-30,24.830315,11.519532031987275,9.344490697947881
2025-12-31,19.773457,11.519532031987275,9.344490697947881
2026-01-31,15.7256775,11.519532031987275,9.344490697947881
2026-02-28,14.334175,11.519532031987275,9.344490697947881
2026-03-31,16.314754,11.519532031987275,9.344490697947881
2026-04-30,20.833725,11.519532031987275,9.344490697947881
2026-05-31,25.8595,11.519532031987275,9.344490697947881
2026-06-30,29.501118,11.519532031987275,9.344490697947881
2026-07-31,31.844597,11.519532031987275,9.344490697947881
2026-08-31,32.50697,11.519532031987275,9.344490697947881
2026-09-30,30.914091,11.519532031987275,9.344490697947881
2026-10-31,27.888723,11.519532031987275,9.344490697947881
2026-11-30,24.188364,11.519532031987275,9.344490697947881
2026-12-31,20.44243,11.519532031987275,9.344490697947881
2027-01-31,17.642906,11.519532031987275,9.344490697947881
2027-02-28,16.701944,11.519532031987275,9.344490697947881
2027-03-31,17.892725,11.519532031987275,9.344490697947881
2027-04-30,20.646576,11.519532031987275,9.344490697947881
2027-05-31,23.887856,11.519532031987275,9.344490697947881
2027-06-30,26.62325,11.519532031987275,9.344490697947881
2027-07-31,28.278023,11.519532031987275,9.344490697947881
2027-08-31,28.651701,11.519532031987275,9.344490697947881
2027-09-30,27.776934,11.519532031987275,9.344490697947881
2027-10-31,25.859377,11.519532031987275,9.344490697947881
2027-11-30,23.303522,11.519532031987275,9.344490697947881
2027-12-31,20.727747,11.519532031987275,9.344490697947881
2028-01-31,18.868504,11.519532031987275,9.344490697947881
2028-02-29,18.321445,11.519532031987275,9.344490697947881
2028-03-31,19.242653,11.519532031987275,9.344490697947881
2028-04-30,21.24267,11.519532031987275,9.344490697947881
2028-05-31,23.59691,11.519532031987275,9.344490697947881
2028-06-30,25.606018,11.519532031987275,9.344490697947881
2028-07-31,26.827229,11.519532031987275,9.344490697947881
2028-08-31,27.074753,11.519532031987275,9.344490697947881
2028-09-30,26.365543,11.519532031987275,9.344490697947881
2028-10-31,24.89405,11.519532031987275,9.344490697947881
2028-11-30,23.00234,11.519532031987275,9.344490697947881
2028-12-31,21.151304,11.519532031987275,9.344490697947881
2029-01-31,19.841509,11.519532031987275,9.344490697947881
2029-02-28,19.451035,11.519532031987275,9.344490697947881
2029-03-31,20.067799,11.519532031987275,9.344490697947881
2029-04-30,21.440798,11.519532031987275,9.344490697947881
2029-05-31,23.100817,11.519532031987275,9.344490697947881
2029-06-30,24.564533,11.519532031987275,9.344490697947881
2029-07-31,25.48605,11.519532031987275,9.344490697947881
2029-08-31,25.702396,11.519532031987275,9.344490697947881
2029-09-30,25.215677,11.519532031987275,9.344490697947881
