Date,Narok_rain_forecast,Test_RMSE,Test_MAE
2024-10-31,95.40317,74.00386835280175,52.08480409396592
2024-11-30,98.51589,74.00386835280175,52.08480409396592
2024-12-31,100.55353,74.00386835280175,52.08480409396592
2025-01-31,101.71142,74.00386835280175,52.08480409396592
2025-02-28,101.99325,74.00386835280175,52.08480409396592
2025-03-31,101.42634,74.00386835280175,52.08480409396592
2025-04-30,100.12463,74.00386835280175,52.08480409396592
2025-05-31,98.71931,74.00386835280175,52.08480409396592
2025-06-30,97.56313,74.00386835280175,52.08480409396592
2025-07-31,96.50967,74.00386835280175,52.08480409396592
2025-08-31,95.78853,74.00386835280175,52.08480409396592
2025-09-30,95.203415,74.00386835280175,52.08480409396592
2025-10-31,94.68561,74.00386835280175,52.08480409396592
2025-11-30,94.491585,74.00386835280175,52.08480409396592
2025-12-31,94.26417,74.00386835280175,52.08480409396592
2026-01-31,94.26509,74.00386835280175,52.08480409396592
2026-02-28,94.251884,74.00386835280175,52.08480409396592
2026-03-31,94.3733,74.00386835280175,52.08480409396592
2026-04-30,94.51659,74.00386835280175,52.08480409396592
2026-05-31,94.38892,74.00386835280175,52.08480409396592
2026-06-30,94.477356,74.00386835280175,52.08480409396592
2026-07-31,94.64722,74.00386835280175,52.08480409396592
2026-08-31,94.559105,74.00386835280175,52.08480409396592
2026-09-30,94.538124,74.00386835280175,52.08480409396592
2026-10-31,94.510765,74.00386835280175,52.08480409396592
2026-11-30,94.36,74.00386835280175,52.08480409396592
2026-12-31,94.22501,74.00386835280175,52.08480409396592
2027-01-31,94.114105,74.00386835280175,52.08480409396592
2027-02-28,94.03012,74.00386835280175,52.08480409396592
2027-03-31,93.97188,74.00386835280175,52.08480409396592
2027-04-30,93.935555,74.00386835280175,52.08480409396592
2027-05-31,93.915764,74.00386835280175,52.08480409396592
2027-06-30,93.90628,74.00386835280175,52.08480409396592
2027-07-31,93.90139,74.00386835280175,52.08480409396592
2027-08-31,93.89733,74.00386835280175,52.08480409396592
2027-09-30,93.89143,74.00386835280175,52.08480409396592
2027-10-31,93.88268,74.00386835280175,52.08480409396592
2027-11-30,93.87114,74.00386835280175,52.08480409396592
2027-12-31,93.856995,74.00386835280175,52.08480409396592
2028-01-31,93.84141,74.00386835280175,52.08480409396592
2028-02-29,93.82514,74.00386835280175,52.08480409396592
2028-03-31,93.80923,74.00386835280175,52.08480409396592
2028-04-30,93.79424,74.00386835280175,52.08480409396592
2028-05-31,93.78067,74.00386835280175,52.08480409396592
2028-06-30,93.7691,74.00386835280175,52.08480409396592
2028-07-31,93.75914,74.00386835280175,52.08480409396592
2028-08-31,93.75055,74.00386835280175,52.08480409396592
2028-09-30,93.74351,74.00386835280175,52.08480409396592
2028-10-31,93.73757,74.00386835280175,52.08480409396592
2028-11-30,93.73245,74.00386835280175,52.08480409396592
2028-12-31,93.728065,74.00386835280175,52.08480409396592
2029-01-31,93.7241,74.00386835280175,52.08480409396592
2029-02-28,93.72034,74.00386835280175,52.08480409396592
2029-03-31,93.716705,74.00386835280175,52.08480409396592
2029-04-30,93.71313,74.00386835280175,52.08480409396592
2029-05-31,93.70961,74.00386835280175,52.08480409396592
2029-06-30,93.70621,74.00386835280175,52.08480409396592
2029-07-31,93.702965,74.00386835280175,52.08480409396592
2029-08-31,93.69996,74.00386835280175,52.08480409396592
2029-09-30,93.69718,74.00386835280175,52.08480409396592
