Date,Nyeri_temp_forecast,Test_RMSE,Test_MAE
2024-10-31,17.458248,0.15676806936879367,0.13049088312355497
2024-11-30,17.365593,0.15676806936879367,0.13049088312355497
2024-12-31,17.04768,0.15676806936879367,0.13049088312355497
2025-01-31,17.271612,0.15676806936879367,0.13049088312355497
2025-02-28,18.273058,0.15676806936879367,0.13049088312355497
2025-03-31,18.783123,0.15676806936879367,0.13049088312355497
2025-04-30,18.268757,0.15676806936879367,0.13049088312355497
2025-05-31,17.312794,0.15676806936879367,0.13049088312355497
2025-06-30,16.301605,0.15676806936879367,0.13049088312355497
2025-07-31,15.795516,0.15676806936879367,0.13049088312355497
2025-08-31,16.21739,0.15676806936879367,0.13049088312355497
2025-09-30,16.996223,0.15676806936879367,0.13049088312355497
2025-10-31,17.42343,0.15676806936879367,0.13049088312355497
2025-11-30,17.36348,0.15676806936879367,0.13049088312355497
2025-12-31,17.020504,0.15676806936879367,0.13049088312355497
2026-01-31,17.179878,0.15676806936879367,0.13049088312355497
2026-02-28,18.21378,0.15676806936879367,0.13049088312355497
2026-03-31,18.793863,0.15676806936879367,0.13049088312355497
2026-04-30,18.252039,0.15676806936879367,0.13049088312355497
2026-05-31,17.248066,0.15676806936879367,0.13049088312355497
2026-06-30,16.196949,0.15676806936879367,0.13049088312355497
2026-07-31,15.698996,0.15676806936879367,0.13049088312355497
2026-08-31,16.149046,0.15676806936879367,0.13049088312355497
2026-09-30,16.939758,0.15676806936879367,0.13049088312355497
2026-10-31,17.371485,0.15676806936879367,0.13049088312355497
2026-11-30,17.351042,0.15676806936879367,0.13049088312355497
2026-12-31,16.977327,0.15676806936879367,0.13049088312355497
2027-01-31,17.144318,0.15676806936879367,0.13049088312355497
2027-02-28,18.154116,0.15676806936879367,0.13049088312355497
2027-03-31,18.75118,0.15676806936879367,0.13049088312355497
2027-04-30,18.236998,0.15676806936879367,0.13049088312355497
2027-05-31,17.226625,0.15676806936879367,0.13049088312355497
2027-06-30,16.143183,0.15676806936879367,0.13049088312355497
2027-07-31,15.606808,0.15676806936879367,0.13049088312355497
2027-08-31,16.06027,0.15676806936879367,0.13049088312355497
2027-09-30,16.86852,0.15676806936879367,0.13049088312355497
2027-10-31,17.347069,0.15676806936879367,0.13049088312355497
2027-11-30,17.322815,0.15676806936879367,0.13049088312355497
2027-12-31,16.93819,0.15676806936879367,0.13049088312355497
2028-01-31,17.108747,0.15676806936879367,0.13049088312355497
2028-02-29,18.098658,0.15676806936879367,0.13049088312355497
2028-03-31,18.733133,0.15676806936879367,0.13049088312355497
2028-04-30,18.229994,0.15676806936879367,0.13049088312355497
2028-05-31,17.202702,0.15676806936879367,0.13049088312355497
2028-06-30,16.089592,0.15676806936879367,0.13049088312355497
2028-07-31,15.529493,0.15676806936879367,0.13049088312355497
2028-08-31,15.992668,0.15676806936879367,0.13049088312355497
2028-09-30,16.82348,0.15676806936879367,0.13049088312355497
2028-10-31,17.31629,0.15676806936879367,0.13049088312355497
2028-11-30,17.296299,0.15676806936879367,0.13049088312355497
2028-12-31,16.905323,0.15676806936879367,0.13049088312355497
2029-01-31,17.057634,0.15676806936879367,0.13049088312355497
2029-02-28,18.037165,0.15676806936879367,0.13049088312355497
2029-03-31,18.709272,0.15676806936879367,0.13049088312355497
2029-04-30,18.228209,0.15676806936879367,0.13049088312355497
2029-05-31,17.19487,0.15676806936879367,0.13049088312355497
2029-06-30,16.057615,0.15676806936879367,0.13049088312355497
2029-07-31,15.462141,0.15676806936879367,0.13049088312355497
2029-08-31,15.918982,0.15676806936879367,0.13049088312355497
2029-09-30,16.772135,0.15676806936879367,0.13049088312355497
