Date,Machakos_soil_forecast,Test_RMSE,Test_MAE
2024-10-31,10.380066,14.184382366671041,10.406727743725623
2024-11-30,12.834566,14.184382366671041,10.406727743725623
2024-12-31,15.019381,14.184382366671041,10.406727743725623
2025-01-31,16.672033,14.184382366671041,10.406727743725623
2025-02-28,17.658518,14.184382366671041,10.406727743725623
2025-03-31,18.06049,14.184382366671041,10.406727743725623
2025-04-30,18.063747,14.184382366671041,10.406727743725623
2025-05-31,17.868492,14.184382366671041,10.406727743725623
2025-06-30,17.598253,14.184382366671041,10.406727743725623
2025-07-31,17.322544,14.184382366671041,10.406727743725623
2025-08-31,17.095116,14.184382366671041,10.406727743725623
2025-09-30,16.942408,14.184382366671041,10.406727743725623
2025-10-31,16.865744,14.184382366671041,10.406727743725623
2025-11-30,16.851522,14.184382366671041,10.406727743725623
2025-12-31,16.902113,14.184382366671041,10.406727743725623
2026-01-31,16.979624,14.184382366671041,10.406727743725623
2026-02-28,17.068428,14.184382366671041,10.406727743725623
2026-03-31,17.14119,14.184382366671041,10.406727743725623
2026-04-30,17.19288,14.184382366671041,10.406727743725623
2026-05-31,17.258259,14.184382366671041,10.406727743725623
2026-06-30,17.34555,14.184382366671041,10.406727743725623
2026-07-31,17.406033,14.184382366671041,10.406727743725623
2026-08-31,17.432966,14.184382366671041,10.406727743725623
2026-09-30,17.429863,14.184382366671041,10.406727743725623
2026-10-31,17.40828,14.184382366671041,10.406727743725623
2026-11-30,17.383146,14.184382366671041,10.406727743725623
2026-12-31,17.363047,14.184382366671041,10.406727743725623
2027-01-31,17.35104,14.184382366671041,10.406727743725623
2027-02-28,17.346819,14.184382366671041,10.406727743725623
2027-03-31,17.348211,14.184382366671041,10.406727743725623
2027-04-30,17.352516,14.184382366671041,10.406727743725623
2027-05-31,17.357376,14.184382366671041,10.406727743725623
2027-06-30,17.361223,14.184382366671041,10.406727743725623
2027-07-31,17.363338,14.184382366671041,10.406727743725623
2027-08-31,17.363644,14.184382366671041,10.406727743725623
2027-09-30,17.362486,14.184382366671041,10.406727743725623
2027-10-31,17.360397,14.184382366671041,10.406727743725623
2027-11-30,17.357918,14.184382366671041,10.406727743725623
2027-12-31,17.355495,14.184382366671041,10.406727743725623
2028-01-31,17.353434,14.184382366671041,10.406727743725623
2028-02-29,17.35187,14.184382366671041,10.406727743725623
2028-03-31,17.350834,14.184382366671041,10.406727743725623
2028-04-30,17.350245,14.184382366671041,10.406727743725623
2028-05-31,17.349981,14.184382366671041,10.406727743725623
2028-06-30,17.349943,14.184382366671041,10.406727743725623
2028-07-31,17.350069,14.184382366671041,10.406727743725623
2028-08-31,17.350292,14.184382366671041,10.406727743725623
2028-09-30,17.35054,14.184382366671041,10.406727743725623
2028-10-31,17.350761,14.184382366671041,10.406727743725623
2028-11-30,17.350916,14.184382366671041,10.406727743725623
2028-12-31,17.350992,14.184382366671041,10.406727743725623
2029-01-31,17.351011,14.184382366671041,10.406727743725623
2029-02-28,17.350994,14.184382366671041,10.406727743725623
2029-03-31,17.350967,14.184382366671041,10.406727743725623
2029-04-30,17.35095,14.184382366671041,10.406727743725623
2029-05-31,17.35095,14.184382366671041,10.406727743725623
2029-06-30,17.350975,14.184382366671041,10.406727743725623
2029-07-31,17.351019,14.184382366671041,10.406727743725623
2029-08-31,17.35107,14.184382366671041,10.406727743725623
2029-09-30,17.351124,14.184382366671041,10.406727743725623
