Date,Kakamega_soil_forecast,Test_RMSE,Test_MAE
2024-10-31,84.66524,13.597435414621836,11.127236612381473
2024-11-30,76.798965,13.597435414621836,11.127236612381473
2024-12-31,63.750565,13.597435414621836,11.127236612381473
2025-01-31,49.50789,13.597435414621836,11.127236612381473
2025-02-28,43.977203,13.597435414621836,11.127236612381473
2025-03-31,54.64062,13.597435414621836,11.127236612381473
2025-04-30,70.792946,13.597435414621836,11.127236612381473
2025-05-31,81.15021,13.597435414621836,11.127236612381473
2025-06-30,85.3988,13.597435414621836,11.127236612381473
2025-07-31,86.67921,13.597435414621836,11.127236612381473
2025-08-31,86.95684,13.597435414621836,11.127236612381473
2025-09-30,85.98185,13.597435414621836,11.127236612381473
2025-10-31,82.104,13.597435414621836,11.127236612381473
2025-11-30,73.29142,13.597435414621836,11.127236612381473
2025-12-31,59.840446,13.597435414621836,11.127236612381473
2026-01-31,46.540783,13.597435414621836,11.127236612381473
2026-02-28,42.58887,13.597435414621836,11.127236612381473
2026-03-31,53.68684,13.597435414621836,11.127236612381473
2026-04-30,70.967155,13.597435414621836,11.127236612381473
2026-05-31,81.359535,13.597435414621836,11.127236612381473
2026-06-30,84.95339,13.597435414621836,11.127236612381473
2026-07-31,85.89291,13.597435414621836,11.127236612381473
2026-08-31,85.92616,13.597435414621836,11.127236612381473
2026-09-30,84.4021,13.597435414621836,11.127236612381473
2026-10-31,79.71145,13.597435414621836,11.127236612381473
2026-11-30,70.5878,13.597435414621836,11.127236612381473
2026-12-31,57.60304,13.597435414621836,11.127236612381473
2027-01-31,45.823784,13.597435414621836,11.127236612381473
2027-02-28,44.45154,13.597435414621836,11.127236612381473
2027-03-31,56.68988,13.597435414621836,11.127236612381473
2027-04-30,72.04137,13.597435414621836,11.127236612381473
2027-05-31,80.96024,13.597435414621836,11.127236612381473
2027-06-30,84.03824,13.597435414621836,11.127236612381473
2027-07-31,84.8464,13.597435414621836,11.127236612381473
2027-08-31,84.710976,13.597435414621836,11.127236612381473
2027-09-30,82.905,13.597435414621836,11.127236612381473
2027-10-31,77.864296,13.597435414621836,11.127236612381473
2027-11-30,68.49732,13.597435414621836,11.127236612381473
2027-12-31,55.966473,13.597435414621836,11.127236612381473
2028-01-31,45.72434,13.597435414621836,11.127236612381473
2028-02-29,46.273468,13.597435414621836,11.127236612381473
2028-03-31,58.91647,13.597435414621836,11.127236612381473
2028-04-30,73.04783,13.597435414621836,11.127236612381473
2028-05-31,80.78405,13.597435414621836,11.127236612381473
2028-06-30,83.42867,13.597435414621836,11.127236612381473
2028-07-31,84.11213,13.597435414621836,11.127236612381473
2028-08-31,83.7603,13.597435414621836,11.127236612381473
2028-09-30,81.544075,13.597435414621836,11.127236612381473
2028-10-31,76.02562,13.597435414621836,11.127236612381473
2028-11-30,66.459274,13.597435414621836,11.127236612381473
2028-12-31,54.52195,13.597435414621836,11.127236612381473
2029-01-31,46.009186,13.597435414621836,11.127236612381473
2029-02-28,48.45355,13.597435414621836,11.127236612381473
2029-03-31,61.194958,13.597435414621836,11.127236612381473
2029-04-30,73.94012,13.597435414621836,11.127236612381473
2029-05-31,80.62691,13.597435414621836,11.127236612381473
2029-06-30,82.91662,13.597435414621836,11.127236612381473
2029-07-31,83.46614,13.597435414621836,11.127236612381473
2029-08-31,82.86909,13.597435414621836,11.127236612381473
2029-09-30,80.22697,13.597435414621836,11.127236612381473
