Date,Machakos_rain_forecast,Test_RMSE,Test_MAE
2024-10-31,35.194046,98.70265527386911,59.15456246144028
2024-11-30,53.483337,98.70265527386911,59.15456246144028
2024-12-31,65.02957,98.70265527386911,59.15456246144028
2025-01-31,63.619904,98.70265527386911,59.15456246144028
2025-02-28,59.52311,98.70265527386911,59.15456246144028
2025-03-31,97.907585,98.70265527386911,59.15456246144028
2025-04-30,159.37411,98.70265527386911,59.15456246144028
2025-05-31,91.23661,98.70265527386911,59.15456246144028
2025-06-30,42.643196,98.70265527386911,59.15456246144028
2025-07-31,2.8166707,98.70265527386911,59.15456246144028
2025-08-31,-12.971348,98.70265527386911,59.15456246144028
2025-09-30,-6.0541425,98.70265527386911,59.15456246144028
2025-10-31,16.725029,98.70265527386911,59.15456246144028
2025-11-30,43.06058,98.70265527386911,59.15456246144028
2025-12-31,66.27211,98.70265527386911,59.15456246144028
2026-01-31,70.010376,98.70265527386911,59.15456246144028
2026-02-28,58.967457,98.70265527386911,59.15456246144028
2026-03-31,51.169567,98.70265527386911,59.15456246144028
2026-04-30,101.54588,98.70265527386911,59.15456246144028
2026-05-31,167.1005,98.70265527386911,59.15456246144028
2026-06-30,29.467705,98.70265527386911,59.15456246144028
2026-07-31,1.5955335,98.70265527386911,59.15456246144028
2026-08-31,-10.318756,98.70265527386911,59.15456246144028
2026-09-30,8.512513,98.70265527386911,59.15456246144028
2026-10-31,40.724457,98.70265527386911,59.15456246144028
2026-11-30,68.96879,98.70265527386911,59.15456246144028
2026-12-31,80.59823,98.70265527386911,59.15456246144028
2027-01-31,71.00201,98.70265527386911,59.15456246144028
2027-02-28,51.969368,98.70265527386911,59.15456246144028
2027-03-31,59.207565,98.70265527386911,59.15456246144028
2027-04-30,135.80905,98.70265527386911,59.15456246144028
2027-05-31,146.8904,98.70265527386911,59.15456246144028
2027-06-30,44.343987,98.70265527386911,59.15456246144028
2027-07-31,-7.510067,98.70265527386911,59.15456246144028
2027-08-31,-13.840014,98.70265527386911,59.15456246144028
2027-09-30,6.6814675,98.70265527386911,59.15456246144028
2027-10-31,36.29002,98.70265527386911,59.15456246144028
2027-11-30,59.912926,98.70265527386911,59.15456246144028
2027-12-31,69.60539,98.70265527386911,59.15456246144028
2028-01-31,65.661064,98.70265527386911,59.15456246144028
2028-02-29,58.65286,98.70265527386911,59.15456246144028
2028-03-31,70.251625,98.70265527386911,59.15456246144028
2028-04-30,125.646484,98.70265527386911,59.15456246144028
2028-05-31,147.4036,98.70265527386911,59.15456246144028
2028-06-30,24.487722,98.70265527386911,59.15456246144028
2028-07-31,-6.1720786,98.70265527386911,59.15456246144028
2028-08-31,-4.2450995,98.70265527386911,59.15456246144028
2028-09-30,17.520662,98.70265527386911,59.15456246144028
2028-10-31,42.568233,98.70265527386911,59.15456246144028
2028-11-30,62.860737,98.70265527386911,59.15456246144028
2028-12-31,71.999855,98.70265527386911,59.15456246144028
2029-01-31,67.76217,98.70265527386911,59.15456246144028
2029-02-28,58.015427,98.70265527386911,59.15456246144028
2029-03-31,67.1542,98.70265527386911,59.15456246144028
2029-04-30,129.60039,98.70265527386911,59.15456246144028
2029-05-31,149.67854,98.70265527386911,59.15456246144028
2029-06-30,29.931509,98.70265527386911,59.15456246144028
2029-07-31,-10.191377,98.70265527386911,59.15456246144028
2029-08-31,-6.6464148,98.70265527386911,59.15456246144028
2029-09-30,15.670652,98.70265527386911,59.15456246144028
