Date,Kericho_rain_forecast,Test_RMSE,Test_MAE
2024-10-31,117.86452,59.930551290147534,46.90951719591695
2024-11-30,103.31824,59.930551290147534,46.90951719591695
2024-12-31,78.103264,59.930551290147534,46.90951719591695
2025-01-31,74.99552,59.930551290147534,46.90951719591695
2025-02-28,122.65511,59.930551290147534,46.90951719591695
2025-03-31,174.62881,59.930551290147534,46.90951719591695
2025-04-30,173.73276,59.930551290147534,46.90951719591695
2025-05-31,160.35587,59.930551290147534,46.90951719591695
2025-06-30,152.84473,59.930551290147534,46.90951719591695
2025-07-31,144.514,59.930551290147534,46.90951719591695
2025-08-31,143.343,59.930551290147534,46.90951719591695
2025-09-30,139.22707,59.930551290147534,46.90951719591695
2025-10-31,122.7062,59.930551290147534,46.90951719591695
2025-11-30,105.98565,59.930551290147534,46.90951719591695
2025-12-31,89.176094,59.930551290147534,46.90951719591695
2026-01-31,84.017944,59.930551290147534,46.90951719591695
2026-02-28,98.84804,59.930551290147534,46.90951719591695
2026-03-31,135.20653,59.930551290147534,46.90951719591695
2026-04-30,167.65436,59.930551290147534,46.90951719591695
2026-05-31,171.15489,59.930551290147534,46.90951719591695
2026-06-30,169.14583,59.930551290147534,46.90951719591695
2026-07-31,168.19884,59.930551290147534,46.90951719591695
2026-08-31,145.34875,59.930551290147534,46.90951719591695
2026-09-30,125.468575,59.930551290147534,46.90951719591695
2026-10-31,114.63536,59.930551290147534,46.90951719591695
2026-11-30,97.59256,59.930551290147534,46.90951719591695
2026-12-31,84.34151,59.930551290147534,46.90951719591695
2027-01-31,89.489525,59.930551290147534,46.90951719591695
2027-02-28,118.1972,59.930551290147534,46.90951719591695
2027-03-31,147.31068,59.930551290147534,46.90951719591695
2027-04-30,161.14575,59.930551290147534,46.90951719591695
2027-05-31,164.7265,59.930551290147534,46.90951719591695
2027-06-30,161.50275,59.930551290147534,46.90951719591695
2027-07-31,153.90807,59.930551290147534,46.90951719591695
2027-08-31,144.19786,59.930551290147534,46.90951719591695
2027-09-30,132.08224,59.930551290147534,46.90951719591695
2027-10-31,117.1215,59.930551290147534,46.90951719591695
2027-11-30,100.205894,59.930551290147534,46.90951719591695
2027-12-31,85.91836,59.930551290147534,46.90951719591695
2028-01-31,86.36209,59.930551290147534,46.90951719591695
2028-02-29,110.36925,59.930551290147534,46.90951719591695
2028-03-31,144.55838,59.930551290147534,46.90951719591695
2028-04-30,165.80763,59.930551290147534,46.90951719591695
2028-05-31,169.47708,59.930551290147534,46.90951719591695
2028-06-30,163.79254,59.930551290147534,46.90951719591695
2028-07-31,153.73262,59.930551290147534,46.90951719591695
2028-08-31,141.37744,59.930551290147534,46.90951719591695
2028-09-30,128.69626,59.930551290147534,46.90951719591695
2028-10-31,114.326324,59.930551290147534,46.90951719591695
2028-11-30,98.22949,59.930551290147534,46.90951719591695
2028-12-31,86.60335,59.930551290147534,46.90951719591695
2029-01-31,91.13303,59.930551290147534,46.90951719591695
2029-02-28,115.65569,59.930551290147534,46.90951719591695
2029-03-31,144.3964,59.930551290147534,46.90951719591695
2029-04-30,161.97202,59.930551290147534,46.90951719591695
2029-05-31,166.23088,59.930551290147534,46.90951719591695
2029-06-30,161.47652,59.930551290147534,46.90951719591695
2029-07-31,152.4267,59.930551290147534,46.90951719591695
2029-08-31,141.55054,59.930551290147534,46.90951719591695
2029-09-30,129.07474,59.930551290147534,46.90951719591695
