Date,Kisii_soil_forecast,Test_RMSE,Test_MAE
2024-10-31,40.65084,11.646637529509507,9.773046934476463
2024-11-30,46.6956,11.646637529509507,9.773046934476463
2024-12-31,51.68174,11.646637529509507,9.773046934476463
2025-01-31,52.5195,11.646637529509507,9.773046934476463
2025-02-28,51.013874,11.646637529509507,9.773046934476463
2025-03-31,49.72904,11.646637529509507,9.773046934476463
2025-04-30,49.51696,11.646637529509507,9.773046934476463
2025-05-31,49.87042,11.646637529509507,9.773046934476463
2025-06-30,50.13968,11.646637529509507,9.773046934476463
2025-07-31,50.108994,11.646637529509507,9.773046934476463
2025-08-31,49.911938,11.646637529509507,9.773046934476463
2025-09-30,49.75042,11.646637529509507,9.773046934476463
2025-10-31,49.668842,11.646637529509507,9.773046934476463
2025-11-30,49.60998,11.646637529509507,9.773046934476463
2025-12-31,49.504196,11.646637529509507,9.773046934476463
2026-01-31,49.34538,11.646637529509507,9.773046934476463
2026-02-28,49.165813,11.646637529509507,9.773046934476463
2026-03-31,49.030476,11.646637529509507,9.773046934476463
2026-04-30,48.961075,11.646637529509507,9.773046934476463
2026-05-31,48.91627,11.646637529509507,9.773046934476463
2026-06-30,48.85605,11.646637529509507,9.773046934476463
2026-07-31,48.79345,11.646637529509507,9.773046934476463
2026-08-31,48.745537,11.646637529509507,9.773046934476463
2026-09-30,48.70922,11.646637529509507,9.773046934476463
2026-10-31,48.70112,11.646637529509507,9.773046934476463
2026-11-30,48.711185,11.646637529509507,9.773046934476463
2026-12-31,48.7165,11.646637529509507,9.773046934476463
2027-01-31,48.70359,11.646637529509507,9.773046934476463
2027-02-28,48.677975,11.646637529509507,9.773046934476463
2027-03-31,48.65298,11.646637529509507,9.773046934476463
2027-04-30,48.636047,11.646637529509507,9.773046934476463
2027-05-31,48.625595,11.646637529509507,9.773046934476463
2027-06-30,48.61644,11.646637529509507,9.773046934476463
2027-07-31,48.60553,11.646637529509507,9.773046934476463
2027-08-31,48.59323,11.646637529509507,9.773046934476463
2027-09-30,48.581303,11.646637529509507,9.773046934476463
2027-10-31,48.570896,11.646637529509507,9.773046934476463
2027-11-30,48.56199,11.646637529509507,9.773046934476463
2027-12-31,48.55405,11.646637529509507,9.773046934476463
2028-01-31,48.546738,11.646637529509507,9.773046934476463
2028-02-29,48.540092,11.646637529509507,9.773046934476463
2028-03-31,48.534317,11.646637529509507,9.773046934476463
2028-04-30,48.52942,11.646637529509507,9.773046934476463
2028-05-31,48.525208,11.646637529509507,9.773046934476463
2028-06-30,48.52146,11.646637529509507,9.773046934476463
2028-07-31,48.518085,11.646637529509507,9.773046934476463
2028-08-31,48.515068,11.646637529509507,9.773046934476463
2028-09-30,48.5124,11.646637529509507,9.773046934476463
2028-10-31,48.51005,11.646637529509507,9.773046934476463
2028-11-30,48.50794,11.646637529509507,9.773046934476463
2028-12-31,48.505943,11.646637529509507,9.773046934476463
2029-01-31,48.504032,11.646637529509507,9.773046934476463
2029-02-28,48.50224,11.646637529509507,9.773046934476463
2029-03-31,48.5006,11.646637529509507,9.773046934476463
2029-04-30,48.49914,11.646637529509507,9.773046934476463
2029-05-31,48.497852,11.646637529509507,9.773046934476463
2029-06-30,48.496685,11.646637529509507,9.773046934476463
2029-07-31,48.495605,11.646637529509507,9.773046934476463
2029-08-31,48.494606,11.646637529509507,9.773046934476463
2029-09-30,48.49369,11.646637529509507,9.773046934476463
