Date,Kisii_rain_forecast,Test_RMSE,Test_MAE
2024-10-31,180.55537,72.78002810809788,56.17425787320701
2024-11-30,183.22256,72.78002810809788,56.17425787320701
2024-12-31,182.54211,72.78002810809788,56.17425787320701
2025-01-31,179.57994,72.78002810809788,56.17425787320701
2025-02-28,175.17178,72.78002810809788,56.17425787320701
2025-03-31,169.97136,72.78002810809788,56.17425787320701
2025-04-30,164.893,72.78002810809788,56.17425787320701
2025-05-31,160.87708,72.78002810809788,56.17425787320701
2025-06-30,158.88559,72.78002810809788,56.17425787320701
2025-07-31,158.19218,72.78002810809788,56.17425787320701
2025-08-31,158.9518,72.78002810809788,56.17425787320701
2025-09-30,160.10838,72.78002810809788,56.17425787320701
2025-10-31,161.36543,72.78002810809788,56.17425787320701
2025-11-30,162.634,72.78002810809788,56.17425787320701
2025-12-31,163.70645,72.78002810809788,56.17425787320701
2026-01-31,164.65652,72.78002810809788,56.17425787320701
2026-02-28,165.31677,72.78002810809788,56.17425787320701
2026-03-31,165.45882,72.78002810809788,56.17425787320701
2026-04-30,165.26324,72.78002810809788,56.17425787320701
2026-05-31,164.70126,72.78002810809788,56.17425787320701
2026-06-30,164.23433,72.78002810809788,56.17425787320701
2026-07-31,164.03021,72.78002810809788,56.17425787320701
2026-08-31,163.62384,72.78002810809788,56.17425787320701
2026-09-30,163.4278,72.78002810809788,56.17425787320701
2026-10-31,163.58899,72.78002810809788,56.17425787320701
2026-11-30,163.45407,72.78002810809788,56.17425787320701
2026-12-31,163.46208,72.78002810809788,56.17425787320701
2027-01-31,163.57034,72.78002810809788,56.17425787320701
2027-02-28,163.73169,72.78002810809788,56.17425787320701
2027-03-31,163.90327,72.78002810809788,56.17425787320701
2027-04-30,164.05249,72.78002810809788,56.17425787320701
2027-05-31,164.15852,72.78002810809788,56.17425787320701
2027-06-30,164.21259,72.78002810809788,56.17425787320701
2027-07-31,164.21582,72.78002810809788,56.17425787320701
2027-08-31,164.18066,72.78002810809788,56.17425787320701
2027-09-30,164.12262,72.78002810809788,56.17425787320701
2027-10-31,164.05957,72.78002810809788,56.17425787320701
2027-11-30,164.00548,72.78002810809788,56.17425787320701
2027-12-31,163.9688,72.78002810809788,56.17425787320701
2028-01-31,163.95279,72.78002810809788,56.17425787320701
2028-02-29,163.95573,72.78002810809788,56.17425787320701
2028-03-31,163.9734,72.78002810809788,56.17425787320701
2028-04-30,164.0005,72.78002810809788,56.17425787320701
2028-05-31,164.03084,72.78002810809788,56.17425787320701
2028-06-30,164.05945,72.78002810809788,56.17425787320701
2028-07-31,164.08179,72.78002810809788,56.17425787320701
2028-08-31,164.09555,72.78002810809788,56.17425787320701
2028-09-30,164.10172,72.78002810809788,56.17425787320701
2028-10-31,164.10118,72.78002810809788,56.17425787320701
2028-11-30,164.09561,72.78002810809788,56.17425787320701
2028-12-31,164.0885,72.78002810809788,56.17425787320701
2029-01-31,164.08159,72.78002810809788,56.17425787320701
2029-02-28,164.07611,72.78002810809788,56.17425787320701
2029-03-31,164.07292,72.78002810809788,56.17425787320701
2029-04-30,164.0723,72.78002810809788,56.17425787320701
2029-05-31,164.07396,72.78002810809788,56.17425787320701
2029-06-30,164.07744,72.78002810809788,56.17425787320701
2029-07-31,164.08197,72.78002810809788,56.17425787320701
2029-08-31,164.08679,72.78002810809788,56.17425787320701
2029-09-30,164.09119,72.78002810809788,56.17425787320701
