Date,Kericho_temp_forecast,Test_RMSE,Test_MAE
2024-10-31,18.196068,0.1726175044256016,0.14635621169431048
2024-11-30,18.195196,0.1726175044256016,0.14635621169431048
2024-12-31,18.170527,0.1726175044256016,0.14635621169431048
2025-01-31,18.442364,0.1726175044256016,0.14635621169431048
2025-02-28,19.186,0.1726175044256016,0.14635621169431048
2025-03-31,19.60915,0.1726175044256016,0.14635621169431048
2025-04-30,18.966461,0.1726175044256016,0.14635621169431048
2025-05-31,17.865908,0.1726175044256016,0.14635621169431048
2025-06-30,16.945953,0.1726175044256016,0.14635621169431048
2025-07-31,16.676613,0.1726175044256016,0.14635621169431048
2025-08-31,17.223646,0.1726175044256016,0.14635621169431048
2025-09-30,17.894693,0.1726175044256016,0.14635621169431048
2025-10-31,18.190588,0.1726175044256016,0.14635621169431048
2025-11-30,18.187786,0.1726175044256016,0.14635621169431048
2025-12-31,18.110735,0.1726175044256016,0.14635621169431048
2026-01-31,18.278538,0.1726175044256016,0.14635621169431048
2026-02-28,19.102985,0.1726175044256016,0.14635621169431048
2026-03-31,19.655233,0.1726175044256016,0.14635621169431048
2026-04-30,18.909914,0.1726175044256016,0.14635621169431048
2026-05-31,17.785503,0.1726175044256016,0.14635621169431048
2026-06-30,16.864162,0.1726175044256016,0.14635621169431048
2026-07-31,16.624598,0.1726175044256016,0.14635621169431048
2026-08-31,17.235537,0.1726175044256016,0.14635621169431048
2026-09-30,17.908648,0.1726175044256016,0.14635621169431048
2026-10-31,18.200256,0.1726175044256016,0.14635621169431048
2026-11-30,18.189177,0.1726175044256016,0.14635621169431048
2026-12-31,18.082699,0.1726175044256016,0.14635621169431048
2027-01-31,18.351791,0.1726175044256016,0.14635621169431048
2027-02-28,19.13767,0.1726175044256016,0.14635621169431048
2027-03-31,19.507439,0.1726175044256016,0.14635621169431048
2027-04-30,18.796497,0.1726175044256016,0.14635621169431048
2027-05-31,17.680956,0.1726175044256016,0.14635621169431048
2027-06-30,16.826643,0.1726175044256016,0.14635621169431048
2027-07-31,16.693487,0.1726175044256016,0.14635621169431048
2027-08-31,17.296078,0.1726175044256016,0.14635621169431048
2027-09-30,17.896843,0.1726175044256016,0.14635621169431048
2027-10-31,18.153759,0.1726175044256016,0.14635621169431048
2027-11-30,18.136606,0.1726175044256016,0.14635621169431048
2027-12-31,18.090696,0.1726175044256016,0.14635621169431048
2028-01-31,18.43897,0.1726175044256016,0.14635621169431048
2028-02-29,19.138613,0.1726175044256016,0.14635621169431048
2028-03-31,19.439577,0.1726175044256016,0.14635621169431048
2028-04-30,18.685715,0.1726175044256016,0.14635621169431048
2028-05-31,17.576546,0.1726175044256016,0.14635621169431048
2028-06-30,16.768402,0.1726175044256016,0.14635621169431048
2028-07-31,16.71318,0.1726175044256016,0.14635621169431048
2028-08-31,17.351412,0.1726175044256016,0.14635621169431048
2028-09-30,17.921486,0.1726175044256016,0.14635621169431048
2028-10-31,18.14127,0.1726175044256016,0.14635621169431048
2028-11-30,18.110275,0.1726175044256016,0.14635621169431048
2028-12-31,18.115126,0.1726175044256016,0.14635621169431048
2029-01-31,18.520624,0.1726175044256016,0.14635621169431048
2029-02-28,19.188417,0.1726175044256016,0.14635621169431048
2029-03-31,19.351727,0.1726175044256016,0.14635621169431048
2029-04-30,18.550991,0.1726175044256016,0.14635621169431048
2029-05-31,17.47275,0.1726175044256016,0.14635621169431048
2029-06-30,16.733032,0.1726175044256016,0.14635621169431048
2029-07-31,16.760868,0.1726175044256016,0.14635621169431048
2029-08-31,17.398863,0.1726175044256016,0.14635621169431048
2029-09-30,17.932487,0.1726175044256016,0.14635621169431048
