Date,Machakos_temp_forecast,Test_RMSE,Test_MAE
2024-10-31,21.486397,0.12830712517358184,0.10014824983306876
2024-11-30,21.141,0.12830712517358184,0.10014824983306876
2024-12-31,20.58623,0.12830712517358184,0.10014824983306876
2025-01-31,21.243057,0.12830712517358184,0.10014824983306876
2025-02-28,22.395885,0.12830712517358184,0.10014824983306876
2025-03-31,22.647879,0.12830712517358184,0.10014824983306876
2025-04-30,21.791964,0.12830712517358184,0.10014824983306876
2025-05-31,20.552885,0.12830712517358184,0.10014824983306876
2025-06-30,19.554,0.12830712517358184,0.10014824983306876
2025-07-31,19.21613,0.12830712517358184,0.10014824983306876
2025-08-31,19.831522,0.12830712517358184,0.10014824983306876
2025-09-30,20.915829,0.12830712517358184,0.10014824983306876
2025-10-31,21.539265,0.12830712517358184,0.10014824983306876
2025-11-30,21.307959,0.12830712517358184,0.10014824983306876
2025-12-31,20.621782,0.12830712517358184,0.10014824983306876
2026-01-31,21.073135,0.12830712517358184,0.10014824983306876
2026-02-28,22.310343,0.12830712517358184,0.10014824983306876
2026-03-31,22.682302,0.12830712517358184,0.10014824983306876
2026-04-30,21.867865,0.12830712517358184,0.10014824983306876
2026-05-31,20.649021,0.12830712517358184,0.10014824983306876
2026-06-30,19.640314,0.12830712517358184,0.10014824983306876
2026-07-31,19.259607,0.12830712517358184,0.10014824983306876
2026-08-31,19.813526,0.12830712517358184,0.10014824983306876
2026-09-30,20.856148,0.12830712517358184,0.10014824983306876
2026-10-31,21.491053,0.12830712517358184,0.10014824983306876
2026-11-30,21.323368,0.12830712517358184,0.10014824983306876
2026-12-31,20.628824,0.12830712517358184,0.10014824983306876
2027-01-31,21.030605,0.12830712517358184,0.10014824983306876
2027-02-28,22.280165,0.12830712517358184,0.10014824983306876
2027-03-31,22.686043,0.12830712517358184,0.10014824983306876
2027-04-30,21.926563,0.12830712517358184,0.10014824983306876
2027-05-31,20.72367,0.12830712517358184,0.10014824983306876
2027-06-30,19.704247,0.12830712517358184,0.10014824983306876
2027-07-31,19.282179,0.12830712517358184,0.10014824983306876
2027-08-31,19.779448,0.12830712517358184,0.10014824983306876
2027-09-30,20.79977,0.12830712517358184,0.10014824983306876
2027-10-31,21.461098,0.12830712517358184,0.10014824983306876
2027-11-30,21.338379,0.12830712517358184,0.10014824983306876
2027-12-31,20.630867,0.12830712517358184,0.10014824983306876
2028-01-31,20.994476,0.12830712517358184,0.10014824983306876
2028-02-29,22.194088,0.12830712517358184,0.10014824983306876
2028-03-31,22.684977,0.12830712517358184,0.10014824983306876
2028-04-30,22.002449,0.12830712517358184,0.10014824983306876
2028-05-31,20.815516,0.12830712517358184,0.10014824983306876
2028-06-30,19.77409,0.12830712517358184,0.10014824983306876
2028-07-31,19.293995,0.12830712517358184,0.10014824983306876
2028-08-31,19.716383,0.12830712517358184,0.10014824983306876
2028-09-30,20.71858,0.12830712517358184,0.10014824983306876
2028-10-31,21.422285,0.12830712517358184,0.10014824983306876
2028-11-30,21.36751,0.12830712517358184,0.10014824983306876
2028-12-31,20.65992,0.12830712517358184,0.10014824983306876
2029-01-31,20.91677,0.12830712517358184,0.10014824983306876
2029-02-28,22.111689,0.12830712517358184,0.10014824983306876
2029-03-31,22.689888,0.12830712517358184,0.10014824983306876
2029-04-30,22.079237,0.12830712517358184,0.10014824983306876
2029-05-31,20.906868,0.12830712517358184,0.10014824983306876
2029-06-30,19.842,0.12830712517358184,0.10014824983306876
2029-07-31,19.303812,0.12830712517358184,0.10014824983306876
2029-08-31,19.651304,0.12830712517358184,0.10014824983306876
2029-09-30,20.634127,0.12830712517358184,0.10014824983306876
