Date,Nakuru_temp_forecast,Test_RMSE,Test_MAE
2024-10-31,15.949911,0.1332361101578886,0.10682101674812974
2024-11-30,15.937818,0.1332361101578886,0.10682101674812974
2024-12-31,15.989402,0.1332361101578886,0.10682101674812974
2025-01-31,16.387833,0.1332361101578886,0.10682101674812974
2025-02-28,17.137423,0.1332361101578886,0.10682101674812974
2025-03-31,17.498032,0.1332361101578886,0.10682101674812974
2025-04-30,16.78349,0.1332361101578886,0.10682101674812974
2025-05-31,15.6821575,0.1332361101578886,0.10682101674812974
2025-06-30,14.708583,0.1332361101578886,0.10682101674812974
2025-07-31,14.178249,0.1332361101578886,0.10682101674812974
2025-08-31,14.600817,0.1332361101578886,0.10682101674812974
2025-09-30,15.509746,0.1332361101578886,0.10682101674812974
2025-10-31,15.91373,0.1332361101578886,0.10682101674812974
2025-11-30,15.916455,0.1332361101578886,0.10682101674812974
2025-12-31,15.955673,0.1332361101578886,0.10682101674812974
2026-01-31,16.335737,0.1332361101578886,0.10682101674812974
2026-02-28,17.133533,0.1332361101578886,0.10682101674812974
2026-03-31,17.580862,0.1332361101578886,0.10682101674812974
2026-04-30,16.78067,0.1332361101578886,0.10682101674812974
2026-05-31,15.6721945,0.1332361101578886,0.10682101674812974
2026-06-30,14.677101,0.1332361101578886,0.10682101674812974
2026-07-31,14.157064,0.1332361101578886,0.10682101674812974
2026-08-31,14.602994,0.1332361101578886,0.10682101674812974
2026-09-30,15.503776,0.1332361101578886,0.10682101674812974
2026-10-31,15.898052,0.1332361101578886,0.10682101674812974
2026-11-30,15.915554,0.1332361101578886,0.10682101674812974
2026-12-31,15.944021,0.1332361101578886,0.10682101674812974
2027-01-31,16.33162,0.1332361101578886,0.10682101674812974
2027-02-28,17.134468,0.1332361101578886,0.10682101674812974
2027-03-31,17.562263,0.1332361101578886,0.10682101674812974
2027-04-30,16.815321,0.1332361101578886,0.10682101674812974
2027-05-31,15.693591,0.1332361101578886,0.10682101674812974
2027-06-30,14.690815,0.1332361101578886,0.10682101674812974
2027-07-31,14.146218,0.1332361101578886,0.10682101674812974
2027-08-31,14.559636,0.1332361101578886,0.10682101674812974
2027-09-30,15.464866,0.1332361101578886,0.10682101674812974
2027-10-31,15.882916,0.1332361101578886,0.10682101674812974
2027-11-30,15.909773,0.1332361101578886,0.10682101674812974
2027-12-31,15.933773,0.1332361101578886,0.10682101674812974
2028-01-31,16.31246,0.1332361101578886,0.10682101674812974
2028-02-29,17.116287,0.1332361101578886,0.10682101674812974
2028-03-31,17.579893,0.1332361101578886,0.10682101674812974
2028-04-30,16.839466,0.1332361101578886,0.10682101674812974
2028-05-31,15.714898,0.1332361101578886,0.10682101674812974
2028-06-30,14.702241,0.1332361101578886,0.10682101674812974
2028-07-31,14.136802,0.1332361101578886,0.10682101674812974
2028-08-31,14.529166,0.1332361101578886,0.10682101674812974
2028-09-30,15.433436,0.1332361101578886,0.10682101674812974
2028-10-31,15.8670845,0.1332361101578886,0.10682101674812974
2028-11-30,15.901882,0.1332361101578886,0.10682101674812974
2028-12-31,15.919664,0.1332361101578886,0.10682101674812974
2029-01-31,16.283527,0.1332361101578886,0.10682101674812974
2029-02-28,17.08461,0.1332361101578886,0.10682101674812974
2029-03-31,17.583788,0.1332361101578886,0.10682101674812974
2029-04-30,16.876293,0.1332361101578886,0.10682101674812974
2029-05-31,15.751722,0.1332361101578886,0.10682101674812974
2029-06-30,14.727024,0.1332361101578886,0.10682101674812974
2029-07-31,14.127576,0.1332361101578886,0.10682101674812974
2029-08-31,14.476853,0.1332361101578886,0.10682101674812974
2029-09-30,15.388696,0.1332361101578886,0.10682101674812974
