Date,Nyeri_soil_forecast,Test_RMSE,Test_MAE
2024-10-31,5.1744456,8.197144542723333,5.42167100194724
2024-11-30,6.3063087,8.197144542723333,5.42167100194724
2024-12-31,6.934704,8.197144542723333,5.42167100194724
2025-01-31,7.3251896,8.197144542723333,5.42167100194724
2025-02-28,7.474079,8.197144542723333,5.42167100194724
2025-03-31,7.4652276,8.197144542723333,5.42167100194724
2025-04-30,7.380536,8.197144542723333,5.42167100194724
2025-05-31,7.2809877,8.197144542723333,5.42167100194724
2025-06-30,7.1974554,8.197144542723333,5.42167100194724
2025-07-31,7.1381702,8.197144542723333,5.42167100194724
2025-08-31,7.104052,8.197144542723333,5.42167100194724
2025-09-30,7.091339,8.197144542723333,5.42167100194724
2025-10-31,7.0941334,8.197144542723333,5.42167100194724
2025-11-30,7.1069784,8.197144542723333,5.42167100194724
2025-12-31,7.127964,8.197144542723333,5.42167100194724
2026-01-31,7.150237,8.197144542723333,5.42167100194724
2026-02-28,7.1710753,8.197144542723333,5.42167100194724
2026-03-31,7.1891236,8.197144542723333,5.42167100194724
2026-04-30,7.2044363,8.197144542723333,5.42167100194724
2026-05-31,7.2198544,8.197144542723333,5.42167100194724
2026-06-30,7.239192,8.197144542723333,5.42167100194724
2026-07-31,7.25375,8.197144542723333,5.42167100194724
2026-08-31,7.262812,8.197144542723333,5.42167100194724
2026-09-30,7.268299,8.197144542723333,5.42167100194724
2026-10-31,7.2707267,8.197144542723333,5.42167100194724
2026-11-30,7.271684,8.197144542723333,5.42167100194724
2026-12-31,7.2723193,8.197144542723333,5.42167100194724
2027-01-31,7.2729754,8.197144542723333,5.42167100194724
2027-02-28,7.273676,8.197144542723333,5.42167100194724
2027-03-31,7.2743263,8.197144542723333,5.42167100194724
2027-04-30,7.2748294,8.197144542723333,5.42167100194724
2027-05-31,7.275131,8.197144542723333,5.42167100194724
2027-06-30,7.2752337,8.197144542723333,5.42167100194724
2027-07-31,7.275171,8.197144542723333,5.42167100194724
2027-08-31,7.274991,8.197144542723333,5.42167100194724
2027-09-30,7.274744,8.197144542723333,5.42167100194724
2027-10-31,7.2744703,8.197144542723333,5.42167100194724
2027-11-30,7.2742,8.197144542723333,5.42167100194724
2027-12-31,7.2739496,8.197144542723333,5.42167100194724
2028-01-31,7.273729,8.197144542723333,5.42167100194724
2028-02-29,7.2735415,8.197144542723333,5.42167100194724
2028-03-31,7.2733865,8.197144542723333,5.42167100194724
2028-04-30,7.273261,8.197144542723333,5.42167100194724
2028-05-31,7.2731595,8.197144542723333,5.42167100194724
2028-06-30,7.2730813,8.197144542723333,5.42167100194724
2028-07-31,7.2730236,8.197144542723333,5.42167100194724
2028-08-31,7.272981,8.197144542723333,5.42167100194724
2028-09-30,7.272949,8.197144542723333,5.42167100194724
2028-10-31,7.272929,8.197144542723333,5.42167100194724
2028-11-30,7.2729154,8.197144542723333,5.42167100194724
2028-12-31,7.2729063,8.197144542723333,5.42167100194724
2029-01-31,7.272901,8.197144542723333,5.42167100194724
2029-02-28,7.2728987,8.197144542723333,5.42167100194724
2029-03-31,7.272898,8.197144542723333,5.42167100194724
2029-04-30,7.2728987,8.197144542723333,5.42167100194724
2029-05-31,7.272901,8.197144542723333,5.42167100194724
2029-06-30,7.2729044,8.197144542723333,5.42167100194724
2029-07-31,7.272907,8.197144542723333,5.42167100194724
2029-08-31,7.27291,8.197144542723333,5.42167100194724
2029-09-30,7.2729125,8.197144542723333,5.42167100194724
