Date,Bungoma_soil_forecast,Test_RMSE,Test_MAE
2024-10-31,51.31661,10.281992594900943,8.380353091865457
2024-11-30,43.907806,10.281992594900943,8.380353091865457
2024-12-31,32.12935,10.281992594900943,8.380353091865457
2025-01-31,18.708956,10.281992594900943,8.380353091865457
2025-02-28,8.846549,10.281992594900943,8.380353091865457
2025-03-31,7.733844,10.281992594900943,8.380353091865457
2025-04-30,16.230278,10.281992594900943,8.380353091865457
2025-05-31,29.067623,10.281992594900943,8.380353091865457
2025-06-30,39.136826,10.281992594900943,8.380353091865457
2025-07-31,44.461185,10.281992594900943,8.380353091865457
2025-08-31,47.324604,10.281992594900943,8.380353091865457
2025-09-30,48.728024,10.281992594900943,8.380353091865457
2025-10-31,47.614594,10.281992594900943,8.380353091865457
2025-11-30,42.360622,10.281992594900943,8.380353091865457
2025-12-31,32.281033,10.281992594900943,8.380353091865457
2026-01-31,19.582462,10.281992594900943,8.380353091865457
2026-02-28,9.065614,10.281992594900943,8.380353091865457
2026-03-31,6.569177,10.281992594900943,8.380353091865457
2026-04-30,14.486026,10.281992594900943,8.380353091865457
2026-05-31,28.050955,10.281992594900943,8.380353091865457
2026-06-30,39.26737,10.281992594900943,8.380353091865457
2026-07-31,45.1905,10.281992594900943,8.380353091865457
2026-08-31,48.149883,10.281992594900943,8.380353091865457
2026-09-30,49.436913,10.281992594900943,8.380353091865457
2026-10-31,48.03098,10.281992594900943,8.380353091865457
2026-11-30,42.573524,10.281992594900943,8.380353091865457
2026-12-31,32.661896,10.281992594900943,8.380353091865457
2027-01-31,20.119665,10.281992594900943,8.380353091865457
2027-02-28,9.537178,10.281992594900943,8.380353091865457
2027-03-31,6.577065,10.281992594900943,8.380353091865457
2027-04-30,13.683811,10.281992594900943,8.380353091865457
2027-05-31,26.752865,10.281992594900943,8.380353091865457
2027-06-30,38.144455,10.281992594900943,8.380353091865457
2027-07-31,44.385567,10.281992594900943,8.380353091865457
2027-08-31,47.60071,10.281992594900943,8.380353091865457
2027-09-30,49.151062,10.281992594900943,8.380353091865457
2027-10-31,48.115147,10.281992594900943,8.380353091865457
2027-11-30,43.096237,10.281992594900943,8.380353091865457
2027-12-31,33.54762,10.281992594900943,8.380353091865457
2028-01-31,21.080153,10.281992594900943,8.380353091865457
2028-02-29,10.109131,10.281992594900943,8.380353091865457
2028-03-31,6.3871207,10.281992594900943,8.380353091865457
2028-04-30,12.818063,10.281992594900943,8.380353091865457
2028-05-31,25.748232,10.281992594900943,8.380353091865457
2028-06-30,37.49585,10.281992594900943,8.380353091865457
2028-07-31,44.08121,10.281992594900943,8.380353091865457
2028-08-31,47.423065,10.281992594900943,8.380353091865457
2028-09-30,49.088844,10.281992594900943,8.380353091865457
2028-10-31,48.273,10.281992594900943,8.380353091865457
2028-11-30,43.58033,10.281992594900943,8.380353091865457
2028-12-31,34.365723,10.281992594900943,8.380353091865457
2029-01-31,22.03218,10.281992594900943,8.380353091865457
2029-02-28,10.776697,10.281992594900943,8.380353091865457
2029-03-31,6.3313665,10.281992594900943,8.380353091865457
2029-04-30,11.974069,10.281992594900943,8.380353091865457
2029-05-31,24.612598,10.281992594900943,8.380353091865457
2029-06-30,36.673595,10.281992594900943,8.380353091865457
2029-07-31,43.65764,10.281992594900943,8.380353091865457
2029-08-31,47.181557,10.281992594900943,8.380353091865457
2029-09-30,49.004047,10.281992594900943,8.380353091865457
