Date,Nyeri_rain_forecast,Test_RMSE,Test_MAE
2024-10-31,84.128746,121.92439223137688,74.4228699591852
2024-11-30,84.29935,121.92439223137688,74.4228699591852
2024-12-31,84.890884,121.92439223137688,74.4228699591852
2025-01-31,85.94398,121.92439223137688,74.4228699591852
2025-02-28,86.991,121.92439223137688,74.4228699591852
2025-03-31,87.84608,121.92439223137688,74.4228699591852
2025-04-30,88.1327,121.92439223137688,74.4228699591852
2025-05-31,87.99386,121.92439223137688,74.4228699591852
2025-06-30,88.27039,121.92439223137688,74.4228699591852
2025-07-31,88.35655,121.92439223137688,74.4228699591852
2025-08-31,88.36646,121.92439223137688,74.4228699591852
2025-09-30,88.301384,121.92439223137688,74.4228699591852
2025-10-31,88.06703,121.92439223137688,74.4228699591852
2025-11-30,87.828674,121.92439223137688,74.4228699591852
2025-12-31,87.327225,121.92439223137688,74.4228699591852
2026-01-31,87.18644,121.92439223137688,74.4228699591852
2026-02-28,86.98062,121.92439223137688,74.4228699591852
2026-03-31,86.79431,121.92439223137688,74.4228699591852
2026-04-30,86.70268,121.92439223137688,74.4228699591852
2026-05-31,85.88408,121.92439223137688,74.4228699591852
2026-06-30,85.594925,121.92439223137688,74.4228699591852
2026-07-31,85.73337,121.92439223137688,74.4228699591852
2026-08-31,85.67081,121.92439223137688,74.4228699591852
2026-09-30,85.744415,121.92439223137688,74.4228699591852
2026-10-31,85.89146,121.92439223137688,74.4228699591852
2026-11-30,85.90347,121.92439223137688,74.4228699591852
2026-12-31,85.91119,121.92439223137688,74.4228699591852
2027-01-31,85.91316,121.92439223137688,74.4228699591852
2027-02-28,85.90907,121.92439223137688,74.4228699591852
2027-03-31,85.900055,121.92439223137688,74.4228699591852
2027-04-30,85.88766,121.92439223137688,74.4228699591852
2027-05-31,85.874,121.92439223137688,74.4228699591852
2027-06-30,85.86064,121.92439223137688,74.4228699591852
2027-07-31,85.84738,121.92439223137688,74.4228699591852
2027-08-31,85.83498,121.92439223137688,74.4228699591852
2027-09-30,85.823784,121.92439223137688,74.4228699591852
2027-10-31,85.81403,121.92439223137688,74.4228699591852
2027-11-30,85.806,121.92439223137688,74.4228699591852
2027-12-31,85.799515,121.92439223137688,74.4228699591852
2028-01-31,85.79486,121.92439223137688,74.4228699591852
2028-02-29,85.79116,121.92439223137688,74.4228699591852
2028-03-31,85.78839,121.92439223137688,74.4228699591852
2028-04-30,85.78634,121.92439223137688,74.4228699591852
2028-05-31,85.78473,121.92439223137688,74.4228699591852
2028-06-30,85.78473,121.92439223137688,74.4228699591852
2028-07-31,85.78516,121.92439223137688,74.4228699591852
2028-08-31,85.78517,121.92439223137688,74.4228699591852
2028-09-30,85.78521,121.92439223137688,74.4228699591852
2028-10-31,85.784996,121.92439223137688,74.4228699591852
2028-11-30,85.78444,121.92439223137688,74.4228699591852
2028-12-31,85.78385,121.92439223137688,74.4228699591852
2029-01-31,85.783264,121.92439223137688,74.4228699591852
2029-02-28,85.78269,121.92439223137688,74.4228699591852
2029-03-31,85.782166,121.92439223137688,74.4228699591852
2029-04-30,85.78169,121.92439223137688,74.4228699591852
2029-05-31,85.7813,121.92439223137688,74.4228699591852
2029-06-30,85.78096,121.92439223137688,74.4228699591852
2029-07-31,85.78069,121.92439223137688,74.4228699591852
2029-08-31,85.78047,121.92439223137688,74.4228699591852
2029-09-30,85.78029,121.92439223137688,74.4228699591852
