Date,Tharaka-Nithi_soil_forecast,Test_RMSE,Test_MAE
2024-10-31,13.056119,13.451380078777687,9.498371756525449
2024-11-30,19.244974,13.451380078777687,9.498371756525449
2024-12-31,18.620455,13.451380078777687,9.498371756525449
2025-01-31,15.358332,13.451380078777687,9.498371756525449
2025-02-28,13.533594,13.451380078777687,9.498371756525449
2025-03-31,13.548392,13.451380078777687,9.498371756525449
2025-04-30,14.10168,13.451380078777687,9.498371756525449
2025-05-31,14.165594,13.451380078777687,9.498371756525449
2025-06-30,13.783665,13.451380078777687,9.498371756525449
2025-07-31,13.441199,13.451380078777687,9.498371756525449
2025-08-31,13.384304,13.451380078777687,9.498371756525449
2025-09-30,13.555779,13.451380078777687,9.498371756525449
2025-10-31,13.808332,13.451380078777687,9.498371756525449
2025-11-30,14.051028,13.451380078777687,9.498371756525449
2025-12-31,14.210056,13.451380078777687,9.498371756525449
2026-01-31,14.331296,13.451380078777687,9.498371756525449
2026-02-28,14.484317,13.451380078777687,9.498371756525449
2026-03-31,14.685093,13.451380078777687,9.498371756525449
2026-04-30,14.902932,13.451380078777687,9.498371756525449
2026-05-31,15.024662,13.451380078777687,9.498371756525449
2026-06-30,15.035592,13.451380078777687,9.498371756525449
2026-07-31,15.015521,13.451380078777687,9.498371756525449
2026-08-31,15.027023,13.451380078777687,9.498371756525449
2026-09-30,15.074952,13.451380078777687,9.498371756525449
2026-10-31,15.1338005,13.451380078777687,9.498371756525449
2026-11-30,15.173992,13.451380078777687,9.498371756525449
2026-12-31,15.183356,13.451380078777687,9.498371756525449
2027-01-31,15.172896,13.451380078777687,9.498371756525449
2027-02-28,15.160036,13.451380078777687,9.498371756525449
2027-03-31,15.152167,13.451380078777687,9.498371756525449
2027-04-30,15.145848,13.451380078777687,9.498371756525449
2027-05-31,15.135766,13.451380078777687,9.498371756525449
2027-06-30,15.1212635,13.451380078777687,9.498371756525449
2027-07-31,15.105605,13.451380078777687,9.498371756525449
2027-08-31,15.091926,13.451380078777687,9.498371756525449
2027-09-30,15.08105,13.451380078777687,9.498371756525449
2027-10-31,15.072162,13.451380078777687,9.498371756525449
2027-11-30,15.064375,13.451380078777687,9.498371756525449
2027-12-31,15.057483,13.451380078777687,9.498371756525449
2028-01-31,15.051773,13.451380078777687,9.498371756525449
2028-02-29,15.0474825,13.451380078777687,9.498371756525449
2028-03-31,15.044502,13.451380078777687,9.498371756525449
2028-04-30,15.042451,13.451380078777687,9.498371756525449
2028-05-31,15.04094,13.451380078777687,9.498371756525449
2028-06-30,15.039831,13.451380078777687,9.498371756525449
2028-07-31,15.039244,13.451380078777687,9.498371756525449
2028-08-31,15.039292,13.451380078777687,9.498371756525449
2028-09-30,15.039901,13.451380078777687,9.498371756525449
2028-10-31,15.040834,13.451380078777687,9.498371756525449
2028-11-30,15.041854,13.451380078777687,9.498371756525449
2028-12-31,15.042838,13.451380078777687,9.498371756525449
2029-01-31,15.043777,13.451380078777687,9.498371756525449
2029-02-28,15.044695,13.451380078777687,9.498371756525449
2029-03-31,15.045589,13.451380078777687,9.498371756525449
2029-04-30,15.046415,13.451380078777687,9.498371756525449
2029-05-31,15.047126,13.451380078777687,9.498371756525449
2029-06-30,15.047713,13.451380078777687,9.498371756525449
2029-07-31,15.048189,13.451380078777687,9.498371756525449
2029-08-31,15.0485735,13.451380078777687,9.498371756525449
2029-09-30,15.048879,13.451380078777687,9.498371756525449
