Date,Baringo_temp_forecast,Test_RMSE,Test_MAE
2024-10-31,21.089716,0.22454337939055283,0.1962341461068923
2024-11-30,20.518333,0.22454337939055283,0.1962341461068923
2024-12-31,20.506584,0.22454337939055283,0.1962341461068923
2025-01-31,21.25591,0.22454337939055283,0.1962341461068923
2025-02-28,22.226454,0.22454337939055283,0.1962341461068923
2025-03-31,22.681917,0.22454337939055283,0.1962341461068923
2025-04-30,22.170002,0.22454337939055283,0.1962341461068923
2025-05-31,21.000925,0.22454337939055283,0.1962341461068923
2025-06-30,20.012526,0.22454337939055283,0.1962341461068923
2025-07-31,19.765085,0.22454337939055283,0.1962341461068923
2025-08-31,20.162945,0.22454337939055283,0.1962341461068923
2025-09-30,20.768938,0.22454337939055283,0.1962341461068923
2025-10-31,21.200096,0.22454337939055283,0.1962341461068923
2025-11-30,20.953003,0.22454337939055283,0.1962341461068923
2025-12-31,20.33798,0.22454337939055283,0.1962341461068923
2026-01-31,20.76273,0.22454337939055283,0.1962341461068923
2026-02-28,21.935339,0.22454337939055283,0.1962341461068923
2026-03-31,22.628286,0.22454337939055283,0.1962341461068923
2026-04-30,22.24404,0.22454337939055283,0.1962341461068923
2026-05-31,21.040833,0.22454337939055283,0.1962341461068923
2026-06-30,19.993126,0.22454337939055283,0.1962341461068923
2026-07-31,19.698978,0.22454337939055283,0.1962341461068923
2026-08-31,20.079983,0.22454337939055283,0.1962341461068923
2026-09-30,20.68804,0.22454337939055283,0.1962341461068923
2026-10-31,21.14015,0.22454337939055283,0.1962341461068923
2026-11-30,21.008726,0.22454337939055283,0.1962341461068923
2026-12-31,20.35936,0.22454337939055283,0.1962341461068923
2027-01-31,20.745115,0.22454337939055283,0.1962341461068923
2027-02-28,21.915655,0.22454337939055283,0.1962341461068923
2027-03-31,22.451973,0.22454337939055283,0.1962341461068923
2027-04-30,22.025501,0.22454337939055283,0.1962341461068923
2027-05-31,20.95939,0.22454337939055283,0.1962341461068923
2027-06-30,20.053745,0.22454337939055283,0.1962341461068923
2027-07-31,19.837778,0.22454337939055283,0.1962341461068923
2027-08-31,20.174974,0.22454337939055283,0.1962341461068923
2027-09-30,20.676382,0.22454337939055283,0.1962341461068923
2027-10-31,21.01956,0.22454337939055283,0.1962341461068923
2027-11-30,20.65095,0.22454337939055283,0.1962341461068923
2027-12-31,20.318293,0.22454337939055283,0.1962341461068923
2028-01-31,20.959826,0.22454337939055283,0.1962341461068923
2028-02-29,21.849934,0.22454337939055283,0.1962341461068923
2028-03-31,22.353321,0.22454337939055283,0.1962341461068923
2028-04-30,21.965738,0.22454337939055283,0.1962341461068923
2028-05-31,20.948946,0.22454337939055283,0.1962341461068923
2028-06-30,20.078627,0.22454337939055283,0.1962341461068923
2028-07-31,19.86587,0.22454337939055283,0.1962341461068923
2028-08-31,20.180916,0.22454337939055283,0.1962341461068923
2028-09-30,20.645796,0.22454337939055283,0.1962341461068923
2028-10-31,20.913538,0.22454337939055283,0.1962341461068923
2028-11-30,20.488972,0.22454337939055283,0.1962341461068923
2028-12-31,20.377481,0.22454337939055283,0.1962341461068923
2029-01-31,21.035517,0.22454337939055283,0.1962341461068923
2029-02-28,21.84124,0.22454337939055283,0.1962341461068923
2029-03-31,22.2927,0.22454337939055283,0.1962341461068923
2029-04-30,21.918772,0.22454337939055283,0.1962341461068923
2029-05-31,20.954315,0.22454337939055283,0.1962341461068923
2029-06-30,20.109705,0.22454337939055283,0.1962341461068923
2029-07-31,19.883226,0.22454337939055283,0.1962341461068923
2029-08-31,20.161892,0.22454337939055283,0.1962341461068923
2029-09-30,20.58995,0.22454337939055283,0.1962341461068923
