Date,Embu_rain_forecast,Test_RMSE,Test_MAE
2024-10-31,64.48988,140.38513955831806,88.33458530390135
2024-11-30,68.69103,140.38513955831806,88.33458530390135
2024-12-31,71.86916,140.38513955831806,88.33458530390135
2025-01-31,74.17664,140.38513955831806,88.33458530390135
2025-02-28,75.64762,140.38513955831806,88.33458530390135
2025-03-31,76.408615,140.38513955831806,88.33458530390135
2025-04-30,76.46881,140.38513955831806,88.33458530390135
2025-05-31,76.1141,140.38513955831806,88.33458530390135
2025-06-30,75.86888,140.38513955831806,88.33458530390135
2025-07-31,75.51207,140.38513955831806,88.33458530390135
2025-08-31,75.124664,140.38513955831806,88.33458530390135
2025-09-30,74.747246,140.38513955831806,88.33458530390135
2025-10-31,74.40682,140.38513955831806,88.33458530390135
2025-11-30,74.07388,140.38513955831806,88.33458530390135
2025-12-31,73.61243,140.38513955831806,88.33458530390135
2026-01-31,73.498764,140.38513955831806,88.33458530390135
2026-02-28,73.41849,140.38513955831806,88.33458530390135
2026-03-31,73.352,140.38513955831806,88.33458530390135
2026-04-30,73.332214,140.38513955831806,88.33458530390135
2026-05-31,72.950516,140.38513955831806,88.33458530390135
2026-06-30,72.8876,140.38513955831806,88.33458530390135
2026-07-31,73.05805,140.38513955831806,88.33458530390135
2026-08-31,73.170876,140.38513955831806,88.33458530390135
2026-09-30,73.28511,140.38513955831806,88.33458530390135
2026-10-31,73.37645,140.38513955831806,88.33458530390135
2026-11-30,73.38706,140.38513955831806,88.33458530390135
2026-12-31,73.385,140.38513955831806,88.33458530390135
2027-01-31,73.375206,140.38513955831806,88.33458530390135
2027-02-28,73.36164,140.38513955831806,88.33458530390135
2027-03-31,73.347244,140.38513955831806,88.33458530390135
2027-04-30,73.33395,140.38513955831806,88.33458530390135
2027-05-31,73.32295,140.38513955831806,88.33458530390135
2027-06-30,73.314705,140.38513955831806,88.33458530390135
2027-07-31,73.30879,140.38513955831806,88.33458530390135
2027-08-31,73.30499,140.38513955831806,88.33458530390135
2027-09-30,73.302895,140.38513955831806,88.33458530390135
2027-10-31,73.30202,140.38513955831806,88.33458530390135
2027-11-30,73.302,140.38513955831806,88.33458530390135
2027-12-31,73.30253,140.38513955831806,88.33458530390135
2028-01-31,73.30347,140.38513955831806,88.33458530390135
2028-02-29,73.304375,140.38513955831806,88.33458530390135
2028-03-31,73.30513,140.38513955831806,88.33458530390135
2028-04-30,73.305725,140.38513955831806,88.33458530390135
2028-05-31,73.30616,140.38513955831806,88.33458530390135
2028-06-30,73.3067,140.38513955831806,88.33458530390135
2028-07-31,73.3071,140.38513955831806,88.33458530390135
2028-08-31,73.30719,140.38513955831806,88.33458530390135
2028-09-30,73.30712,140.38513955831806,88.33458530390135
2028-10-31,73.306885,140.38513955831806,88.33458530390135
2028-11-30,73.30661,140.38513955831806,88.33458530390135
2028-12-31,73.30639,140.38513955831806,88.33458530390135
2029-01-31,73.30619,140.38513955831806,88.33458530390135
2029-02-28,73.30608,140.38513955831806,88.33458530390135
2029-03-31,73.305984,140.38513955831806,88.33458530390135
2029-04-30,73.30596,140.38513955831806,88.33458530390135
2029-05-31,73.30595,140.38513955831806,88.33458530390135
2029-06-30,73.305954,140.38513955831806,88.33458530390135
2029-07-31,73.305984,140.38513955831806,88.33458530390135
2029-08-31,73.30599,140.38513955831806,88.33458530390135
2029-09-30,73.306015,140.38513955831806,88.33458530390135
