Date,Nakuru_rain_forecast,Test_RMSE,Test_MAE
2024-10-31,94.04293,81.06167875657827,58.276965389969526
2024-11-30,93.51007,81.06167875657827,58.276965389969526
2024-12-31,92.91376,81.06167875657827,58.276965389969526
2025-01-31,93.07431,81.06167875657827,58.276965389969526
2025-02-28,93.43782,81.06167875657827,58.276965389969526
2025-03-31,93.8215,81.06167875657827,58.276965389969526
2025-04-30,93.73406,81.06167875657827,58.276965389969526
2025-05-31,93.638885,81.06167875657827,58.276965389969526
2025-06-30,93.740364,81.06167875657827,58.276965389969526
2025-07-31,93.7602,81.06167875657827,58.276965389969526
2025-08-31,93.8314,81.06167875657827,58.276965389969526
2025-09-30,93.77897,81.06167875657827,58.276965389969526
2025-10-31,93.39652,81.06167875657827,58.276965389969526
2025-11-30,93.22301,81.06167875657827,58.276965389969526
2025-12-31,92.8875,81.06167875657827,58.276965389969526
2026-01-31,92.75643,81.06167875657827,58.276965389969526
2026-02-28,92.48994,81.06167875657827,58.276965389969526
2026-03-31,92.328476,81.06167875657827,58.276965389969526
2026-04-30,92.18765,81.06167875657827,58.276965389969526
2026-05-31,91.66419,81.06167875657827,58.276965389969526
2026-06-30,91.30325,81.06167875657827,58.276965389969526
2026-07-31,91.33025,81.06167875657827,58.276965389969526
2026-08-31,90.97579,81.06167875657827,58.276965389969526
2026-09-30,90.770004,81.06167875657827,58.276965389969526
2026-10-31,90.826996,81.06167875657827,58.276965389969526
2026-11-30,90.79824,81.06167875657827,58.276965389969526
2026-12-31,90.77106,81.06167875657827,58.276965389969526
2027-01-31,90.744675,81.06167875657827,58.276965389969526
2027-02-28,90.717026,81.06167875657827,58.276965389969526
2027-03-31,90.68788,81.06167875657827,58.276965389969526
2027-04-30,90.657616,81.06167875657827,58.276965389969526
2027-05-31,90.6278,81.06167875657827,58.276965389969526
2027-06-30,90.59891,81.06167875657827,58.276965389969526
2027-07-31,90.57087,81.06167875657827,58.276965389969526
2027-08-31,90.5443,81.06167875657827,58.276965389969526
2027-09-30,90.51931,81.06167875657827,58.276965389969526
2027-10-31,90.49638,81.06167875657827,58.276965389969526
2027-11-30,90.47625,81.06167875657827,58.276965389969526
2027-12-31,90.4583,81.06167875657827,58.276965389969526
2028-01-31,90.44278,81.06167875657827,58.276965389969526
2028-02-29,90.42904,81.06167875657827,58.276965389969526
2028-03-31,90.41723,81.06167875657827,58.276965389969526
2028-04-30,90.4069,81.06167875657827,58.276965389969526
2028-05-31,90.39788,81.06167875657827,58.276965389969526
2028-06-30,90.39083,81.06167875657827,58.276965389969526
2028-07-31,90.38512,81.06167875657827,58.276965389969526
2028-08-31,90.379776,81.06167875657827,58.276965389969526
2028-09-30,90.375565,81.06167875657827,58.276965389969526
2028-10-31,90.37201,81.06167875657827,58.276965389969526
2028-11-30,90.36848,81.06167875657827,58.276965389969526
2028-12-31,90.365204,81.06167875657827,58.276965389969526
2029-01-31,90.3622,81.06167875657827,58.276965389969526
2029-02-28,90.359406,81.06167875657827,58.276965389969526
2029-03-31,90.35687,81.06167875657827,58.276965389969526
2029-04-30,90.35458,81.06167875657827,58.276965389969526
2029-05-31,90.35255,81.06167875657827,58.276965389969526
2029-06-30,90.350716,81.06167875657827,58.276965389969526
2029-07-31,90.3491,81.06167875657827,58.276965389969526
2029-08-31,90.34768,81.06167875657827,58.276965389969526
2029-09-30,90.346436,81.06167875657827,58.276965389969526
