Date,Nakuru_soil_forecast,Test_RMSE,Test_MAE
2024-10-31,33.356327,13.862182622713338,11.338170900780668
2024-11-30,27.083447,13.862182622713338,11.338170900780668
2024-12-31,22.828667,13.862182622713338,11.338170900780668
2025-01-31,21.095818,13.862182622713338,11.338170900780668
2025-02-28,21.348125,13.862182622713338,11.338170900780668
2025-03-31,22.824892,13.862182622713338,11.338170900780668
2025-04-30,24.749176,13.862182622713338,11.338170900780668
2025-05-31,26.495344,13.862182622713338,11.338170900780668
2025-06-30,27.680113,13.862182622713338,11.338170900780668
2025-07-31,28.153038,13.862182622713338,11.338170900780668
2025-08-31,27.97706,13.862182622713338,11.338170900780668
2025-09-30,27.332241,13.862182622713338,11.338170900780668
2025-10-31,26.4469,13.862182622713338,11.338170900780668
2025-11-30,25.525606,13.862182622713338,11.338170900780668
2025-12-31,24.723211,13.862182622713338,11.338170900780668
2026-01-31,24.11743,13.862182622713338,11.338170900780668
2026-02-28,23.734566,13.862182622713338,11.338170900780668
2026-03-31,23.551996,13.862182622713338,11.338170900780668
2026-04-30,23.520296,13.862182622713338,11.338170900780668
2026-05-31,23.58785,13.862182622713338,11.338170900780668
2026-06-30,23.709404,13.862182622713338,11.338170900780668
2026-07-31,23.814674,13.862182622713338,11.338170900780668
2026-08-31,23.877588,13.862182622713338,11.338170900780668
2026-09-30,23.895863,13.862182622713338,11.338170900780668
2026-10-31,23.859396,13.862182622713338,11.338170900780668
2026-11-30,23.776255,13.862182622713338,11.338170900780668
2026-12-31,23.6663,13.862182622713338,11.338170900780668
2027-01-31,23.549839,13.862182622713338,11.338170900780668
2027-02-28,23.44383,13.862182622713338,11.338170900780668
2027-03-31,23.359507,13.862182622713338,11.338170900780668
2027-04-30,23.301592,13.862182622713338,11.338170900780668
2027-05-31,23.26901,13.862182622713338,11.338170900780668
2027-06-30,23.256557,13.862182622713338,11.338170900780668
2027-07-31,23.256985,13.862182622713338,11.338170900780668
2027-08-31,23.262922,13.862182622713338,11.338170900780668
2027-09-30,23.268322,13.862182622713338,11.338170900780668
2027-10-31,23.269274,13.862182622713338,11.338170900780668
2027-11-30,23.264135,13.862182622713338,11.338170900780668
2027-12-31,23.253212,13.862182622713338,11.338170900780668
2028-01-31,23.238127,13.862182622713338,11.338170900780668
2028-02-29,23.221096,13.862182622713338,11.338170900780668
2028-03-31,23.204304,13.862182622713338,11.338170900780668
2028-04-30,23.189472,13.862182622713338,11.338170900780668
2028-05-31,23.177624,13.862182622713338,11.338170900780668
2028-06-30,23.16906,13.862182622713338,11.338170900780668
2028-07-31,23.163504,13.862182622713338,11.338170900780668
2028-08-31,23.160276,13.862182622713338,11.338170900780668
2028-09-30,23.158539,13.862182622713338,11.338170900780668
2028-10-31,23.15749,13.862182622713338,11.338170900780668
2028-11-30,23.156483,13.862182622713338,11.338170900780668
2028-12-31,23.15512,13.862182622713338,11.338170900780668
2029-01-31,23.153246,13.862182622713338,11.338170900780668
2029-02-28,23.150892,13.862182622713338,11.338170900780668
2029-03-31,23.148241,13.862182622713338,11.338170900780668
2029-04-30,23.145506,13.862182622713338,11.338170900780668
2029-05-31,23.14292,13.862182622713338,11.338170900780668
2029-06-30,23.140646,13.862182622713338,11.338170900780668
2029-07-31,23.138779,13.862182622713338,11.338170900780668
2029-08-31,23.137342,13.862182622713338,11.338170900780668
2029-09-30,23.136292,13.862182622713338,11.338170900780668
