Date,Makueni_soil_forecast,Test_RMSE,Test_MAE
2024-10-31,11.817069,14.615704376173662,10.750010784595244
2024-11-30,16.434254,14.615704376173662,10.750010784595244
2024-12-31,19.094784,14.615704376173662,10.750010784595244
2025-01-31,20.307346,14.615704376173662,10.750010784595244
2025-02-28,20.43584,14.615704376173662,10.750010784595244
2025-03-31,19.977999,14.615704376173662,10.750010784595244
2025-04-30,19.347193,14.615704376173662,10.750010784595244
2025-05-31,18.80301,14.615704376173662,10.750010784595244
2025-06-30,18.45232,14.615704376173662,10.750010784595244
2025-07-31,18.298225,14.615704376173662,10.750010784595244
2025-08-31,18.296259,14.615704376173662,10.750010784595244
2025-09-30,18.385305,14.615704376173662,10.750010784595244
2025-10-31,18.508928,14.615704376173662,10.750010784595244
2025-11-30,18.62736,14.615704376173662,10.750010784595244
2025-12-31,18.72832,14.615704376173662,10.750010784595244
2026-01-31,18.798527,14.615704376173662,10.750010784595244
2026-02-28,18.834787,14.615704376173662,10.750010784595244
2026-03-31,18.843966,14.615704376173662,10.750010784595244
2026-04-30,18.839285,14.615704376173662,10.750010784595244
2026-05-31,18.83534,14.615704376173662,10.750010784595244
2026-06-30,18.834908,14.615704376173662,10.750010784595244
2026-07-31,18.831669,14.615704376173662,10.750010784595244
2026-08-31,18.82605,14.615704376173662,10.750010784595244
2026-09-30,18.820482,14.615704376173662,10.750010784595244
2026-10-31,18.816387,14.615704376173662,10.750010784595244
2026-11-30,18.815077,14.615704376173662,10.750010784595244
2026-12-31,18.81629,14.615704376173662,10.750010784595244
2027-01-31,18.818777,14.615704376173662,10.750010784595244
2027-02-28,18.82131,14.615704376173662,10.750010784595244
2027-03-31,18.823082,14.615704376173662,10.750010784595244
2027-04-30,18.823792,14.615704376173662,10.750010784595244
2027-05-31,18.823559,14.615704376173662,10.750010784595244
2027-06-30,18.822712,14.615704376173662,10.750010784595244
2027-07-31,18.821629,14.615704376173662,10.750010784595244
2027-08-31,18.820612,14.615704376173662,10.750010784595244
2027-09-30,18.81984,14.615704376173662,10.750010784595244
2027-10-31,18.819357,14.615704376173662,10.750010784595244
2027-11-30,18.819138,14.615704376173662,10.750010784595244
2027-12-31,18.819103,14.615704376173662,10.750010784595244
2028-01-31,18.819168,14.615704376173662,10.750010784595244
2028-02-29,18.81927,14.615704376173662,10.750010784595244
2028-03-31,18.819345,14.615704376173662,10.750010784595244
2028-04-30,18.819391,14.615704376173662,10.750010784595244
2028-05-31,18.819407,14.615704376173662,10.750010784595244
2028-06-30,18.819391,14.615704376173662,10.750010784595244
2028-07-31,18.819365,14.615704376173662,10.750010784595244
2028-08-31,18.819338,14.615704376173662,10.750010784595244
2028-09-30,18.81932,14.615704376173662,10.750010784595244
2028-10-31,18.81931,14.615704376173662,10.750010784595244
2028-11-30,18.819307,14.615704376173662,10.750010784595244
2028-12-31,18.819307,14.615704376173662,10.750010784595244
2029-01-31,18.819313,14.615704376173662,10.750010784595244
2029-02-28,18.819323,14.615704376173662,10.750010784595244
2029-03-31,18.819332,14.615704376173662,10.750010784595244
2029-04-30,18.819342,14.615704376173662,10.750010784595244
2029-05-31,18.819347,14.615704376173662,10.750010784595244
2029-06-30,18.819351,14.615704376173662,10.750010784595244
2029-07-31,18.81935,14.615704376173662,10.750010784595244
2029-08-31,18.819345,14.615704376173662,10.750010784595244
2029-09-30,18.819344,14.615704376173662,10.750010784595244
