Date,Kericho_soil_forecast,Test_RMSE,Test_MAE
2024-10-31,31.430723,10.010137712022516,8.009914749412127
2024-11-30,29.584389,10.010137712022516,8.009914749412127
2024-12-31,25.494583,10.010137712022516,8.009914749412127
2025-01-31,21.322502,10.010137712022516,8.009914749412127
2025-02-28,19.965534,10.010137712022516,8.009914749412127
2025-03-31,23.216782,10.010137712022516,8.009914749412127
2025-04-30,29.656599,10.010137712022516,8.009914749412127
2025-05-31,35.722496,10.010137712022516,8.009914749412127
2025-06-30,39.11433,10.010137712022516,8.009914749412127
2025-07-31,39.939735,10.010137712022516,8.009914749412127
2025-08-31,39.01651,10.010137712022516,8.009914749412127
2025-09-30,37.25933,10.010137712022516,8.009914749412127
2025-10-31,34.604683,10.010137712022516,8.009914749412127
2025-11-30,30.881401,10.010137712022516,8.009914749412127
2025-12-31,26.135681,10.010137712022516,8.009914749412127
2026-01-31,21.872213,10.010137712022516,8.009914749412127
2026-02-28,19.362038,10.010137712022516,8.009914749412127
2026-03-31,20.73669,10.010137712022516,8.009914749412127
2026-04-30,25.684402,10.010137712022516,8.009914749412127
2026-05-31,31.336603,10.010137712022516,8.009914749412127
2026-06-30,35.178627,10.010137712022516,8.009914749412127
2026-07-31,37.188354,10.010137712022516,8.009914749412127
2026-08-31,37.218876,10.010137712022516,8.009914749412127
2026-09-30,35.302277,10.010137712022516,8.009914749412127
2026-10-31,32.36798,10.010137712022516,8.009914749412127
2026-11-30,28.658314,10.010137712022516,8.009914749412127
2026-12-31,24.7021,10.010137712022516,8.009914749412127
2027-01-31,21.608631,10.010137712022516,8.009914749412127
2027-02-28,20.764143,10.010137712022516,8.009914749412127
2027-03-31,22.93539,10.010137712022516,8.009914749412127
2027-04-30,27.349127,10.010137712022516,8.009914749412127
2027-05-31,32.023075,10.010137712022516,8.009914749412127
2027-06-30,35.26933,10.010137712022516,8.009914749412127
2027-07-31,36.603394,10.010137712022516,8.009914749412127
2027-08-31,36.290623,10.010137712022516,8.009914749412127
2027-09-30,34.662556,10.010137712022516,8.009914749412127
2027-10-31,31.950441,10.010137712022516,8.009914749412127
2027-11-30,28.45718,10.010137712022516,8.009914749412127
2027-12-31,24.777477,10.010137712022516,8.009914749412127
2028-01-31,21.92162,10.010137712022516,8.009914749412127
2028-02-29,21.078417,10.010137712022516,8.009914749412127
2028-03-31,22.918278,10.010137712022516,8.009914749412127
2028-04-30,26.79842,10.010137712022516,8.009914749412127
2028-05-31,31.01087,10.010137712022516,8.009914749412127
2028-06-30,34.045513,10.010137712022516,8.009914749412127
2028-07-31,35.379845,10.010137712022516,8.009914749412127
2028-08-31,35.151115,10.010137712022516,8.009914749412127
2028-09-30,33.633095,10.010137712022516,8.009914749412127
2028-10-31,31.095755,10.010137712022516,8.009914749412127
2028-11-30,27.89737,10.010137712022516,8.009914749412127
2028-12-31,24.65507,10.010137712022516,8.009914749412127
2029-01-31,22.301716,10.010137712022516,8.009914749412127
2029-02-28,21.829876,10.010137712022516,8.009914749412127
2029-03-31,23.669119,10.010137712022516,8.009914749412127
2029-04-30,27.161566,10.010137712022516,8.009914749412127
2029-05-31,30.862772,10.010137712022516,8.009914749412127
2029-06-30,33.522827,10.010137712022516,8.009914749412127
2029-07-31,34.677208,10.010137712022516,8.009914749412127
2029-08-31,34.41856,10.010137712022516,8.009914749412127
2029-09-30,32.981422,10.010137712022516,8.009914749412127
