Date,Bomet_rain_forecast,Test_RMSE,Test_MAE
2024-10-31,149.33424,75.36664625240897,59.34056301527126
2024-11-30,149.85722,75.36664625240897,59.34056301527126
2024-12-31,149.49553,75.36664625240897,59.34056301527126
2025-01-31,149.61217,75.36664625240897,59.34056301527126
2025-02-28,150.17726,75.36664625240897,59.34056301527126
2025-03-31,150.40549,75.36664625240897,59.34056301527126
2025-04-30,149.5103,75.36664625240897,59.34056301527126
2025-05-31,148.19992,75.36664625240897,59.34056301527126
2025-06-30,147.78874,75.36664625240897,59.34056301527126
2025-07-31,147.45152,75.36664625240897,59.34056301527126
2025-08-31,147.88939,75.36664625240897,59.34056301527126
2025-09-30,148.18192,75.36664625240897,59.34056301527126
2025-10-31,147.73082,75.36664625240897,59.34056301527126
2025-11-30,147.7793,75.36664625240897,59.34056301527126
2025-12-31,147.5647,75.36664625240897,59.34056301527126
2026-01-31,147.68675,75.36664625240897,59.34056301527126
2026-02-28,147.71294,75.36664625240897,59.34056301527126
2026-03-31,147.85802,75.36664625240897,59.34056301527126
2026-04-30,148.09404,75.36664625240897,59.34056301527126
2026-05-31,147.73048,75.36664625240897,59.34056301527126
2026-06-30,147.62051,75.36664625240897,59.34056301527126
2026-07-31,148.02861,75.36664625240897,59.34056301527126
2026-08-31,147.59209,75.36664625240897,59.34056301527126
2026-09-30,147.53073,75.36664625240897,59.34056301527126
2026-10-31,148.03085,75.36664625240897,59.34056301527126
2026-11-30,148.00005,75.36664625240897,59.34056301527126
2026-12-31,147.96559,75.36664625240897,59.34056301527126
2027-01-31,147.93477,75.36664625240897,59.34056301527126
2027-02-28,147.90685,75.36664625240897,59.34056301527126
2027-03-31,147.88115,75.36664625240897,59.34056301527126
2027-04-30,147.86023,75.36664625240897,59.34056301527126
2027-05-31,147.84938,75.36664625240897,59.34056301527126
2027-06-30,147.8488,75.36664625240897,59.34056301527126
2027-07-31,147.85194,75.36664625240897,59.34056301527126
2027-08-31,147.85732,75.36664625240897,59.34056301527126
2027-09-30,147.86034,75.36664625240897,59.34056301527126
2027-10-31,147.86191,75.36664625240897,59.34056301527126
2027-11-30,147.86563,75.36664625240897,59.34056301527126
2027-12-31,147.86842,75.36664625240897,59.34056301527126
2028-01-31,147.87163,75.36664625240897,59.34056301527126
2028-02-29,147.87346,75.36664625240897,59.34056301527126
2028-03-31,147.8746,75.36664625240897,59.34056301527126
2028-04-30,147.8746,75.36664625240897,59.34056301527126
2028-05-31,147.87341,75.36664625240897,59.34056301527126
2028-06-30,147.8741,75.36664625240897,59.34056301527126
2028-07-31,147.87512,75.36664625240897,59.34056301527126
2028-08-31,147.874,75.36664625240897,59.34056301527126
2028-09-30,147.87518,75.36664625240897,59.34056301527126
2028-10-31,147.87637,75.36664625240897,59.34056301527126
2028-11-30,147.87494,75.36664625240897,59.34056301527126
2028-12-31,147.87401,75.36664625240897,59.34056301527126
2029-01-31,147.87346,75.36664625240897,59.34056301527126
2029-02-28,147.87332,75.36664625240897,59.34056301527126
2029-03-31,147.87341,75.36664625240897,59.34056301527126
2029-04-30,147.87367,75.36664625240897,59.34056301527126
2029-05-31,147.87402,75.36664625240897,59.34056301527126
2029-06-30,147.8744,75.36664625240897,59.34056301527126
2029-07-31,147.87471,75.36664625240897,59.34056301527126
2029-08-31,147.87495,75.36664625240897,59.34056301527126
2029-09-30,147.87509,75.36664625240897,59.34056301527126
