Date,Murang'a_soil_forecast,Test_RMSE,Test_MAE
2024-10-31,1.4029752,5.941678408527668,3.086794964666541
2024-11-30,1.8061829,5.941678408527668,3.086794964666541
2024-12-31,2.4294395,5.941678408527668,3.086794964666541
2025-01-31,3.1886334,5.941678408527668,3.086794964666541
2025-02-28,4.109918,5.941678408527668,3.086794964666541
2025-03-31,4.919641,5.941678408527668,3.086794964666541
2025-04-30,5.122722,5.941678408527668,3.086794964666541
2025-05-31,4.0780163,5.941678408527668,3.086794964666541
2025-06-30,2.639798,5.941678408527668,3.086794964666541
2025-07-31,1.6112088,5.941678408527668,3.086794964666541
2025-08-31,0.79560816,5.941678408527668,3.086794964666541
2025-09-30,0.16825722,5.941678408527668,3.086794964666541
2025-10-31,-0.2400367,5.941678408527668,3.086794964666541
2025-11-30,-0.38669303,5.941678408527668,3.086794964666541
2025-12-31,-0.42511025,5.941678408527668,3.086794964666541
2026-01-31,-0.09679628,5.941678408527668,3.086794964666541
2026-02-28,0.7005881,5.941678408527668,3.086794964666541
2026-03-31,2.021211,5.941678408527668,3.086794964666541
2026-04-30,3.8606443,5.941678408527668,3.086794964666541
2026-05-31,5.5533466,5.941678408527668,3.086794964666541
2026-06-30,3.9710176,5.941678408527668,3.086794964666541
2026-07-31,2.2558148,5.941678408527668,3.086794964666541
2026-08-31,1.517386,5.941678408527668,3.086794964666541
2026-09-30,1.2563549,5.941678408527668,3.086794964666541
2026-10-31,1.3224587,5.941678408527668,3.086794964666541
2026-11-30,1.6290921,5.941678408527668,3.086794964666541
2026-12-31,2.1202931,5.941678408527668,3.086794964666541
2027-01-31,2.7204804,5.941678408527668,3.086794964666541
2027-02-28,3.311648,5.941678408527668,3.086794964666541
2027-03-31,3.7350261,5.941678408527668,3.086794964666541
2027-04-30,3.8430743,5.941678408527668,3.086794964666541
2027-05-31,3.5987904,5.941678408527668,3.086794964666541
2027-06-30,3.1483874,5.941678408527668,3.086794964666541
2027-07-31,2.6686087,5.941678408527668,3.086794964666541
2027-08-31,2.2394543,5.941678408527668,3.086794964666541
2027-09-30,1.9027685,5.941678408527668,3.086794964666541
2027-10-31,1.6895804,5.941678408527668,3.086794964666541
2027-11-30,1.6176761,5.941678408527668,3.086794964666541
2027-12-31,1.6895897,5.941678408527668,3.086794964666541
2028-01-31,1.8993468,5.941678408527668,3.086794964666541
2028-02-29,2.2087884,5.941678408527668,3.086794964666541
2028-03-31,2.5360389,5.941678408527668,3.086794964666541
2028-04-30,2.759024,5.941678408527668,3.086794964666541
2028-05-31,2.7408335,5.941678408527668,3.086794964666541
2028-06-30,2.4160106,5.941678408527668,3.086794964666541
2028-07-31,2.0336897,5.941678408527668,3.086794964666541
2028-08-31,1.7718029,5.941678408527668,3.086794964666541
2028-09-30,1.6444266,5.941678408527668,3.086794964666541
2028-10-31,1.6417782,5.941678408527668,3.086794964666541
2028-11-30,1.7497644,5.941678408527668,3.086794964666541
2028-12-31,1.9421451,5.941678408527668,3.086794964666541
2029-01-31,2.177772,5.941678408527668,3.086794964666541
2029-02-28,2.40313,5.941678408527668,3.086794964666541
2029-03-31,2.5636563,5.941678408527668,3.086794964666541
2029-04-30,2.6225276,5.941678408527668,3.086794964666541
2029-05-31,2.5776594,5.941678408527668,3.086794964666541
2029-06-30,2.4619284,5.941678408527668,3.086794964666541
2029-07-31,2.321439,5.941678408527668,3.086794964666541
2029-08-31,2.1947527,5.941678408527668,3.086794964666541
2029-09-30,2.1084266,5.941678408527668,3.086794964666541
