Date,Bungoma_temp_forecast,Test_RMSE,Test_MAE
2024-10-31,18.569096,0.12701175453577038,0.10442535280702718
2024-11-30,18.46955,0.12701175453577038,0.10442535280702718
2024-12-31,18.415272,0.12701175453577038,0.10442535280702718
2025-01-31,18.932077,0.12701175453577038,0.10442535280702718
2025-02-28,20.17917,0.12701175453577038,0.10442535280702718
2025-03-31,20.826551,0.12701175453577038,0.10442535280702718
2025-04-30,19.936186,0.12701175453577038,0.10442535280702718
2025-05-31,18.72374,0.12701175453577038,0.10442535280702718
2025-06-30,17.875648,0.12701175453577038,0.10442535280702718
2025-07-31,17.667416,0.12701175453577038,0.10442535280702718
2025-08-31,17.919926,0.12701175453577038,0.10442535280702718
2025-09-30,18.322329,0.12701175453577038,0.10442535280702718
2025-10-31,18.587667,0.12701175453577038,0.10442535280702718
2025-11-30,18.498516,0.12701175453577038,0.10442535280702718
2025-12-31,18.414623,0.12701175453577038,0.10442535280702718
2026-01-31,18.87929,0.12701175453577038,0.10442535280702718
2026-02-28,20.153952,0.12701175453577038,0.10442535280702718
2026-03-31,20.863678,0.12701175453577038,0.10442535280702718
2026-04-30,19.998484,0.12701175453577038,0.10442535280702718
2026-05-31,18.739813,0.12701175453577038,0.10442535280702718
2026-06-30,17.873201,0.12701175453577038,0.10442535280702718
2026-07-31,17.65347,0.12701175453577038,0.10442535280702718
2026-08-31,17.90387,0.12701175453577038,0.10442535280702718
2026-09-30,18.316246,0.12701175453577038,0.10442535280702718
2026-10-31,18.602266,0.12701175453577038,0.10442535280702718
2026-11-30,18.539667,0.12701175453577038,0.10442535280702718
2026-12-31,18.416412,0.12701175453577038,0.10442535280702718
2027-01-31,18.900633,0.12701175453577038,0.10442535280702718
2027-02-28,20.16002,0.12701175453577038,0.10442535280702718
2027-03-31,20.848866,0.12701175453577038,0.10442535280702718
2027-04-30,19.984064,0.12701175453577038,0.10442535280702718
2027-05-31,18.751749,0.12701175453577038,0.10442535280702718
2027-06-30,17.88178,0.12701175453577038,0.10442535280702718
2027-07-31,17.661777,0.12701175453577038,0.10442535280702718
2027-08-31,17.912956,0.12701175453577038,0.10442535280702718
2027-09-30,18.320269,0.12701175453577038,0.10442535280702718
2027-10-31,18.607151,0.12701175453577038,0.10442535280702718
2027-11-30,18.54426,0.12701175453577038,0.10442535280702718
2027-12-31,18.415876,0.12701175453577038,0.10442535280702718
2028-01-31,18.9021,0.12701175453577038,0.10442535280702718
2028-02-29,20.139874,0.12701175453577038,0.10442535280702718
2028-03-31,20.843044,0.12701175453577038,0.10442535280702718
2028-04-30,19.989958,0.12701175453577038,0.10442535280702718
2028-05-31,18.76311,0.12701175453577038,0.10442535280702718
2028-06-30,17.887735,0.12701175453577038,0.10442535280702718
2028-07-31,17.66102,0.12701175453577038,0.10442535280702718
2028-08-31,17.909174,0.12701175453577038,0.10442535280702718
2028-09-30,18.317715,0.12701175453577038,0.10442535280702718
2028-10-31,18.610508,0.12701175453577038,0.10442535280702718
2028-11-30,18.551376,0.12701175453577038,0.10442535280702718
2028-12-31,18.414293,0.12701175453577038,0.10442535280702718
2029-01-31,18.895504,0.12701175453577038,0.10442535280702718
2029-02-28,20.138182,0.12701175453577038,0.10442535280702718
2029-03-31,20.836216,0.12701175453577038,0.10442535280702718
2029-04-30,19.985266,0.12701175453577038,0.10442535280702718
2029-05-31,18.762918,0.12701175453577038,0.10442535280702718
2029-06-30,17.891306,0.12701175453577038,0.10442535280702718
2029-07-31,17.664381,0.12701175453577038,0.10442535280702718
2029-08-31,17.910606,0.12701175453577038,0.10442535280702718
2029-09-30,18.317,0.12701175453577038,0.10442535280702718
