Date,Narok_soil_forecast,Test_RMSE,Test_MAE
2024-10-31,14.80653,14.235820365851044,9.762766407382104
2024-11-30,17.232641,14.235820365851044,9.762766407382104
2024-12-31,20.020687,14.235820365851044,9.762766407382104
2025-01-31,23.539173,14.235820365851044,9.762766407382104
2025-02-28,28.445786,14.235820365851044,9.762766407382104
2025-03-31,34.55846,14.235820365851044,9.762766407382104
2025-04-30,39.240376,14.235820365851044,9.762766407382104
2025-05-31,38.344723,14.235820365851044,9.762766407382104
2025-06-30,31.341383,14.235820365851044,9.762766407382104
2025-07-31,22.690855,14.235820365851044,9.762766407382104
2025-08-31,16.1605,14.235820365851044,9.762766407382104
2025-09-30,12.964949,14.235820365851044,9.762766407382104
2025-10-31,12.37646,14.235820365851044,9.762766407382104
2025-11-30,13.860949,14.235820365851044,9.762766407382104
2025-12-31,16.66104,14.235820365851044,9.762766407382104
2026-01-31,20.46016,14.235820365851044,9.762766407382104
2026-02-28,24.50882,14.235820365851044,9.762766407382104
2026-03-31,28.901104,14.235820365851044,9.762766407382104
2026-04-30,32.566956,14.235820365851044,9.762766407382104
2026-05-31,33.81482,14.235820365851044,9.762766407382104
2026-06-30,30.18132,14.235820365851044,9.762766407382104
2026-07-31,24.742334,14.235820365851044,9.762766407382104
2026-08-31,19.624441,14.235820365851044,9.762766407382104
2026-09-30,16.550436,14.235820365851044,9.762766407382104
2026-10-31,15.724414,14.235820365851044,9.762766407382104
2026-11-30,16.554815,14.235820365851044,9.762766407382104
2026-12-31,18.590109,14.235820365851044,9.762766407382104
2027-01-31,21.532284,14.235820365851044,9.762766407382104
2027-02-28,25.077276,14.235820365851044,9.762766407382104
2027-03-31,28.628225,14.235820365851044,9.762766407382104
2027-04-30,31.083117,14.235820365851044,9.762766407382104
2027-05-31,31.204166,14.235820365851044,9.762766407382104
2027-06-30,28.692863,14.235820365851044,9.762766407382104
2027-07-31,24.717678,14.235820365851044,9.762766407382104
2027-08-31,20.947798,14.235820365851044,9.762766407382104
2027-09-30,18.442757,14.235820365851044,9.762766407382104
2027-10-31,17.47366,14.235820365851044,9.762766407382104
2027-11-30,17.88174,14.235820365851044,9.762766407382104
2027-12-31,19.371351,14.235820365851044,9.762766407382104
2028-01-31,21.63976,14.235820365851044,9.762766407382104
2028-02-29,24.337868,14.235820365851044,9.762766407382104
2028-03-31,26.96081,14.235820365851044,9.762766407382104
2028-04-30,28.764688,14.235820365851044,9.762766407382104
2028-05-31,28.989965,14.235820365851044,9.762766407382104
2028-06-30,27.388342,14.235820365851044,9.762766407382104
2028-07-31,24.627714,14.235820365851044,9.762766407382104
2028-08-31,21.798895,14.235820365851044,9.762766407382104
2028-09-30,19.760332,14.235820365851044,9.762766407382104
2028-10-31,18.860525,14.235820365851044,9.762766407382104
2028-11-30,19.071207,14.235820365851044,9.762766407382104
2028-12-31,20.197632,14.235820365851044,9.762766407382104
2029-01-31,21.982838,14.235820365851044,9.762766407382104
2029-02-28,24.105211,14.235820365851044,9.762766407382104
2029-03-31,26.12325,14.235820365851044,9.762766407382104
2029-04-30,27.476145,14.235820365851044,9.762766407382104
2029-05-31,27.662802,14.235820365851044,9.762766407382104
2029-06-30,26.562544,14.235820365851044,9.762766407382104
2029-07-31,24.594221,14.235820365851044,9.762766407382104
2029-08-31,22.482796,14.235820365851044,9.762766407382104
2029-09-30,20.859867,14.235820365851044,9.762766407382104
