Date,Kitui_rain_forecast,Test_RMSE,Test_MAE
2024-10-31,45.299446,94.27881181695372,64.66336347091872
2024-11-30,48.256374,94.27881181695372,64.66336347091872
2024-12-31,51.01262,94.27881181695372,64.66336347091872
2025-01-31,53.349125,94.27881181695372,64.66336347091872
2025-02-28,55.138466,94.27881181695372,64.66336347091872
2025-03-31,56.364166,94.27881181695372,64.66336347091872
2025-04-30,56.948795,94.27881181695372,64.66336347091872
2025-05-31,56.98711,94.27881181695372,64.66336347091872
2025-06-30,57.012325,94.27881181695372,64.66336347091872
2025-07-31,56.87677,94.27881181695372,64.66336347091872
2025-08-31,56.645016,94.27881181695372,64.66336347091872
2025-09-30,56.371967,94.27881181695372,64.66336347091872
2025-10-31,56.098244,94.27881181695372,64.66336347091872
2025-11-30,55.810528,94.27881181695372,64.66336347091872
2025-12-31,55.27046,94.27881181695372,64.66336347091872
2026-01-31,55.032284,94.27881181695372,64.66336347091872
2026-02-28,54.89289,94.27881181695372,64.66336347091872
2026-03-31,54.810356,94.27881181695372,64.66336347091872
2026-04-30,54.722397,94.27881181695372,64.66336347091872
2026-05-31,54.525436,94.27881181695372,64.66336347091872
2026-06-30,54.440395,94.27881181695372,64.66336347091872
2026-07-31,54.528942,94.27881181695372,64.66336347091872
2026-08-31,54.611137,94.27881181695372,64.66336347091872
2026-09-30,54.71744,94.27881181695372,64.66336347091872
2026-10-31,54.82363,94.27881181695372,64.66336347091872
2026-11-30,54.87154,94.27881181695372,64.66336347091872
2026-12-31,54.90599,94.27881181695372,64.66336347091872
2027-01-31,54.927574,94.27881181695372,64.66336347091872
2027-02-28,54.938164,94.27881181695372,64.66336347091872
2027-03-31,54.940235,94.27881181695372,64.66336347091872
2027-04-30,54.936348,94.27881181695372,64.66336347091872
2027-05-31,54.92901,94.27881181695372,64.66336347091872
2027-06-30,54.920277,94.27881181695372,64.66336347091872
2027-07-31,54.91128,94.27881181695372,64.66336347091872
2027-08-31,54.902943,94.27881181695372,64.66336347091872
2027-09-30,54.89586,94.27881181695372,64.66336347091872
2027-10-31,54.890236,94.27881181695372,64.66336347091872
2027-11-30,54.886127,94.27881181695372,64.66336347091872
2027-12-31,54.883423,94.27881181695372,64.66336347091872
2028-01-31,54.882248,94.27881181695372,64.66336347091872
2028-02-29,54.882046,94.27881181695372,64.66336347091872
2028-03-31,54.882484,94.27881181695372,64.66336347091872
2028-04-30,54.883297,94.27881181695372,64.66336347091872
2028-05-31,54.88435,94.27881181695372,64.66336347091872
2028-06-30,54.885624,94.27881181695372,64.66336347091872
2028-07-31,54.886898,94.27881181695372,64.66336347091872
2028-08-31,54.887947,94.27881181695372,64.66336347091872
2028-09-30,54.888744,94.27881181695372,64.66336347091872
2028-10-31,54.889244,94.27881181695372,64.66336347091872
2028-11-30,54.889492,94.27881181695372,64.66336347091872
2028-12-31,54.88955,94.27881181695372,64.66336347091872
2029-01-31,54.889492,94.27881181695372,64.66336347091872
2029-02-28,54.889355,94.27881181695372,64.66336347091872
2029-03-31,54.88918,94.27881181695372,64.66336347091872
2029-04-30,54.888992,94.27881181695372,64.66336347091872
2029-05-31,54.888832,94.27881181695372,64.66336347091872
2029-06-30,54.88868,94.27881181695372,64.66336347091872
2029-07-31,54.888565,94.27881181695372,64.66336347091872
2029-08-31,54.88848,94.27881181695372,64.66336347091872
2029-09-30,54.888454,94.27881181695372,64.66336347091872
