Date,West Pokot_temp_forecast,Test_RMSE,Test_MAE
2024-10-31,23.871956,0.23306896074242217,0.18943514385840024
2024-11-30,22.856731,0.23306896074242217,0.18943514385840024
2024-12-31,22.72494,0.23306896074242217,0.18943514385840024
2025-01-31,23.715765,0.23306896074242217,0.18943514385840024
2025-02-28,25.25751,0.23306896074242217,0.18943514385840024
2025-03-31,25.532461,0.23306896074242217,0.18943514385840024
2025-04-30,24.50395,0.23306896074242217,0.18943514385840024
2025-05-31,23.362701,0.23306896074242217,0.18943514385840024
2025-06-30,22.290785,0.23306896074242217,0.18943514385840024
2025-07-31,21.727945,0.23306896074242217,0.18943514385840024
2025-08-31,22.191908,0.23306896074242217,0.18943514385840024
2025-09-30,23.284061,0.23306896074242217,0.18943514385840024
2025-10-31,24.017742,0.23306896074242217,0.18943514385840024
2025-11-30,23.279524,0.23306896074242217,0.18943514385840024
2025-12-31,22.627325,0.23306896074242217,0.18943514385840024
2026-01-31,23.271553,0.23306896074242217,0.18943514385840024
2026-02-28,24.836819,0.23306896074242217,0.18943514385840024
2026-03-31,25.208315,0.23306896074242217,0.18943514385840024
2026-04-30,24.343573,0.23306896074242217,0.18943514385840024
2026-05-31,23.308756,0.23306896074242217,0.18943514385840024
2026-06-30,22.26638,0.23306896074242217,0.18943514385840024
2026-07-31,21.652252,0.23306896074242217,0.18943514385840024
2026-08-31,22.000505,0.23306896074242217,0.18943514385840024
2026-09-30,23.056656,0.23306896074242217,0.18943514385840024
2026-10-31,23.927982,0.23306896074242217,0.18943514385840024
2026-11-30,23.288136,0.23306896074242217,0.18943514385840024
2026-12-31,22.608116,0.23306896074242217,0.18943514385840024
2027-01-31,23.203003,0.23306896074242217,0.18943514385840024
2027-02-28,24.747784,0.23306896074242217,0.18943514385840024
2027-03-31,25.0943,0.23306896074242217,0.18943514385840024
2027-04-30,24.232014,0.23306896074242217,0.18943514385840024
2027-05-31,23.203508,0.23306896074242217,0.18943514385840024
2027-06-30,22.215292,0.23306896074242217,0.18943514385840024
2027-07-31,21.761026,0.23306896074242217,0.18943514385840024
2027-08-31,22.263098,0.23306896074242217,0.18943514385840024
2027-09-30,23.265545,0.23306896074242217,0.18943514385840024
2027-10-31,23.828527,0.23306896074242217,0.18943514385840024
2027-11-30,22.842533,0.23306896074242217,0.18943514385840024
2027-12-31,22.707653,0.23306896074242217,0.18943514385840024
2028-01-31,23.554245,0.23306896074242217,0.18943514385840024
2028-02-29,24.749489,0.23306896074242217,0.18943514385840024
2028-03-31,24.99279,0.23306896074242217,0.18943514385840024
2028-04-30,24.130753,0.23306896074242217,0.18943514385840024
2028-05-31,23.108427,0.23306896074242217,0.18943514385840024
2028-06-30,22.209667,0.23306896074242217,0.18943514385840024
2028-07-31,21.92332,0.23306896074242217,0.18943514385840024
2028-08-31,22.507858,0.23306896074242217,0.18943514385840024
2028-09-30,23.383081,0.23306896074242217,0.18943514385840024
2028-10-31,23.54039,0.23306896074242217,0.18943514385840024
2028-11-30,22.591097,0.23306896074242217,0.18943514385840024
2028-12-31,22.913437,0.23306896074242217,0.18943514385840024
2029-01-31,23.823704,0.23306896074242217,0.18943514385840024
2029-02-28,24.86075,0.23306896074242217,0.18943514385840024
2029-03-31,24.931826,0.23306896074242217,0.18943514385840024
2029-04-30,24.036642,0.23306896074242217,0.18943514385840024
2029-05-31,23.018568,0.23306896074242217,0.18943514385840024
2029-06-30,22.17557,0.23306896074242217,0.18943514385840024
2029-07-31,21.992897,0.23306896074242217,0.18943514385840024
2029-08-31,22.631193,0.23306896074242217,0.18943514385840024
2029-09-30,23.421225,0.23306896074242217,0.18943514385840024
