Date,Nyandarua_soil_forecast,Test_RMSE,Test_MAE
2024-10-31,23.84949,13.157638539549911,10.60845854910471
2024-11-30,22.17597,13.157638539549911,10.60845854910471
2024-12-31,20.51251,13.157638539549911,10.60845854910471
2025-01-31,20.382397,13.157638539549911,10.60845854910471
2025-02-28,21.060684,13.157638539549911,10.60845854910471
2025-03-31,22.069506,13.157638539549911,10.60845854910471
2025-04-30,23.021914,13.157638539549911,10.60845854910471
2025-05-31,23.686523,13.157638539549911,10.60845854910471
2025-06-30,23.971807,13.157638539549911,10.60845854910471
2025-07-31,23.891718,13.157638539549911,10.60845854910471
2025-08-31,23.536285,13.157638539549911,10.60845854910471
2025-09-30,23.02353,13.157638539549911,10.60845854910471
2025-10-31,22.4668,13.157638539549911,10.60845854910471
2025-11-30,21.952202,13.157638539549911,10.60845854910471
2025-12-31,21.534153,13.157638539549911,10.60845854910471
2026-01-31,21.232351,13.157638539549911,10.60845854910471
2026-02-28,21.042519,13.157638539549911,10.60845854910471
2026-03-31,20.943254,13.157638539549911,10.60845854910471
2026-04-30,20.906021,13.157638539549911,10.60845854910471
2026-05-31,20.906382,13.157638539549911,10.60845854910471
2026-06-30,20.921274,13.157638539549911,10.60845854910471
2026-07-31,20.924906,13.157638539549911,10.60845854910471
2026-08-31,20.909483,13.157638539549911,10.60845854910471
2026-09-30,20.875088,13.157638539549911,10.60845854910471
2026-10-31,20.822262,13.157638539549911,10.60845854910471
2026-11-30,20.758692,13.157638539549911,10.60845854910471
2026-12-31,20.693714,13.157638539549911,10.60845854910471
2027-01-31,20.634157,13.157638539549911,10.60845854910471
2027-02-28,20.584326,13.157638539549911,10.60845854910471
2027-03-31,20.545914,13.157638539549911,10.60845854910471
2027-04-30,20.518366,13.157638539549911,10.60845854910471
2027-05-31,20.499659,13.157638539549911,10.60845854910471
2027-06-30,20.487104,13.157638539549911,10.60845854910471
2027-07-31,20.478056,13.157638539549911,10.60845854910471
2027-08-31,20.47037,13.157638539549911,10.60845854910471
2027-09-30,20.462618,13.157638539549911,10.60845854910471
2027-10-31,20.454134,13.157638539549911,10.60845854910471
2027-11-30,20.444862,13.157638539549911,10.60845854910471
2027-12-31,20.435139,13.157638539549911,10.60845854910471
2028-01-31,20.425484,13.157638539549911,10.60845854910471
2028-02-29,20.416416,13.157638539549911,10.60845854910471
2028-03-31,20.408312,13.157638539549911,10.60845854910471
2028-04-30,20.401405,13.157638539549911,10.60845854910471
2028-05-31,20.395716,13.157638539549911,10.60845854910471
2028-06-30,20.391144,13.157638539549911,10.60845854910471
2028-07-31,20.38749,13.157638539549911,10.60845854910471
2028-08-31,20.384514,13.157638539549911,10.60845854910471
2028-09-30,20.382008,13.157638539549911,10.60845854910471
2028-10-31,20.379791,13.157638539549911,10.60845854910471
2028-11-30,20.377745,13.157638539549911,10.60845854910471
2028-12-31,20.375807,13.157638539549911,10.60845854910471
2029-01-31,20.373964,13.157638539549911,10.60845854910471
2029-02-28,20.372215,13.157638539549911,10.60845854910471
2029-03-31,20.3706,13.157638539549911,10.60845854910471
2029-04-30,20.369137,13.157638539549911,10.60845854910471
2029-05-31,20.36784,13.157638539549911,10.60845854910471
2029-06-30,20.36671,13.157638539549911,10.60845854910471
2029-07-31,20.365746,13.157638539549911,10.60845854910471
2029-08-31,20.364925,13.157638539549911,10.60845854910471
2029-09-30,20.364223,13.157638539549911,10.60845854910471
